euclidean	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
HD1	0	6.78	7.28	7.35	7.14	7.42	7.07	5.83	7.14	6.40	6.24	6.93	6.24	6.78	6.32	6.08	7.28	7.94	7.55	8.12	8.25	7.14	6.78	6.24	6.48	6.93	7.21	7.00	6.00	7.00	8.19	7.75	8.19	8.12	8.43	7.94	8.06	7.68	8.12	8.00	7.94	7.48	7.81	7.94	8.12
HD10	6.78	0	6.56	6.63	7.14	6.24	6.78	6.16	7.14	6.86	6.40	6.00	6.08	7.07	5.83	6.86	6.71	7.28	7.42	8.37	7.62	7.55	6.16	6.56	6.00	6.00	7.21	6.56	6.63	7.00	8.06	8.00	7.94	8.37	8.19	7.81	8.19	7.55	8.12	8.37	8.19	8.12	7.81	8.31	8.37
HD11	7.28	6.56	0	5.20	5.48	5.10	5.39	7.00	7.35	7.35	7.21	7.14	6.32	6.86	6.24	6.93	7.48	6.63	6.78	8.31	6.86	7.48	7.00	6.63	7.14	7.14	7.68	6.93	6.24	6.63	8.49	8.19	7.75	8.06	7.75	7.87	8.12	8.12	8.43	8.54	8.60	7.81	8.00	8.49	8.54
HD12	7.35	6.63	5.20	0	6.40	4.80	5.48	6.63	7.55	7.68	6.71	6.93	6.40	7.21	6.78	7.14	7.28	7.00	6.71	8.25	7.62	7.42	6.63	6.71	7.07	7.07	7.87	6.86	6.78	7.28	8.31	8.12	7.81	8.00	7.81	8.19	8.19	7.94	8.37	8.37	8.31	7.87	8.06	8.43	8.37
HD13	7.14	7.14	5.48	6.40	0	6.16	4.58	7.28	7.87	7.87	7.35	7.28	5.66	5.74	6.24	7.21	7.48	7.48	6.93	8.66	7.28	7.75	6.86	6.78	7.28	7.55	8.19	7.35	6.56	6.00	8.72	8.19	8.25	8.31	8.37	8.12	8.25	8.49	8.54	8.54	8.60	8.19	8.49	8.83	8.77
HD14	7.42	6.24	5.10	4.80	6.16	0	5.20	6.56	8.00	7.75	6.63	7.00	6.78	7.00	6.56	7.48	7.75	6.93	7.07	8.31	7.55	7.48	7.14	7.48	7.55	6.86	7.94	7.07	6.56	7.21	8.60	8.43	8.12	8.19	8.00	8.00	8.37	8.37	8.54	8.54	8.60	7.94	8.25	8.72	8.54
HD15	7.07	6.78	5.39	5.48	4.58	5.20	0	6.93	7.55	7.68	6.86	6.63	5.92	6.16	6.32	7.00	7.28	7.28	6.86	8.25	7.21	7.42	6.63	6.86	6.93	7.07	7.75	7.00	6.32	6.56	8.43	7.87	7.81	8.00	8.06	7.81	7.94	8.19	8.37	8.37	8.31	7.75	7.94	8.54	8.37
HD2	5.83	6.16	7.00	6.63	7.28	6.56	6.93	0	6.56	6.86	3.87	6.48	6.24	7.48	6.32	5.92	6.86	7.55	7.14	7.75	7.75	6.71	6.16	6.08	6.78	4.47	7.21	6.71	6.00	7.14	7.42	7.21	7.68	7.87	7.94	7.28	7.55	6.86	7.48	7.48	7.28	7.21	7.14	7.28	7.62
HD3	7.14	7.14	7.35	7.55	7.87	8.00	7.55	6.56	0	6.16	5.83	6.24	6.63	7.14	7.42	5.10	6.00	6.93	7.62	7.68	7.68	6.78	6.40	6.00	6.86	7.00	6.40	6.32	6.86	7.07	6.00	6.71	7.35	6.86	7.48	7.48	6.93	6.00	6.24	6.86	6.48	7.00	6.16	6.93	7.14
HD4	6.40	6.86	7.35	7.68	7.87	7.75	7.68	6.86	6.16	0	6.93	5.57	6.48	7.68	6.71	6.32	7.07	7.48	8.12	8.89	8.19	8.12	6.86	6.63	6.40	7.14	7.55	6.78	7.00	7.21	8.00	8.19	8.49	8.31	8.83	8.60	8.25	7.62	7.94	8.19	8.00	8.06	7.62	8.25	8.43
HD5	6.24	6.40	7.21	6.71	7.35	6.63	6.86	3.87	5.83	6.93	0	6.40	6.32	7.28	6.40	5.66	6.16	7.35	7.07	7.28	7.68	6.16	5.74	6.16	6.71	5.00	7.00	6.32	6.08	7.07	6.78	6.56	7.35	7.28	7.48	6.93	6.93	6.32	6.71	6.71	6.78	6.71	6.32	6.93	7.00
HD6	6.93	6.00	7.14	6.93	7.28	7.00	6.63	6.48	6.24	5.57	6.40	0	5.74	7.21	6.93	5.74	6.71	6.71	7.94	8.72	8.00	7.94	6.63	6.71	6.48	6.32	6.16	5.92	5.83	7.14	7.94	8.12	8.31	8.37	8.43	8.19	8.19	7.81	8.00	8.12	8.06	7.87	7.55	8.06	8.25
HD7	6.24	6.08	6.32	6.40	5.66	6.78	5.92	6.24	6.63	6.48	6.32	5.74	0	5.92	5.39	6.00	6.63	7.07	7.07	8.31	7.28	7.48	5.57	5.66	5.57	5.92	7.00	6.48	6.08	6.16	7.87	7.68	7.87	8.19	8.12	7.87	7.87	7.21	7.81	7.81	7.48	8.06	7.62	8.12	8.19
HD8	6.78	7.07	6.86	7.21	5.74	7.00	6.16	7.48	7.14	7.68	7.28	7.21	5.92	0	6.63	6.56	7.00	7.28	7.68	8.49	7.62	7.68	6.93	6.86	7.21	7.62	7.48	7.42	6.63	6.24	8.31	7.75	8.06	8.00	8.31	8.06	8.31	7.94	8.12	8.00	7.94	8.12	7.94	8.77	8.37
