euclidean	HD1	HD11	HD12	HD14	HD13	HD15	HD7	HD9	MD10	MD7	MD2	MD4	MD3	HD2	HD5	MD5	HD3	MD1	HD4	HD6	HD8	MD6	MD8	HD10	MD9	NC1	NC3	NC2	NC5	NC10	NC6	NC7	NC4	NC9	NC11	NC12	NC15	NC13	NC8	NC14	MD12	MD14	MD13	MD15	MD11
HD1	0	7.28	7.35	7.42	7.14	7.07	6.24	6.32	7.28	7.00	6.78	6.48	6.24	5.83	6.24	6.93	7.14	6.08	6.40	6.93	6.78	7.21	6.00	6.78	7.00	8.19	8.12	7.68	7.94	7.75	7.48	7.81	8.00	8.12	8.19	8.12	8.06	8.43	7.94	7.94	7.55	8.25	8.12	7.14	7.94
HD11	7.28	0	5.20	5.10	5.48	5.39	6.32	6.24	7.48	6.93	7.00	7.14	6.63	7.00	7.21	7.14	7.35	6.93	7.35	7.14	6.86	7.68	6.24	6.56	6.63	8.49	8.43	8.12	8.60	8.19	7.81	8.00	8.54	8.54	7.75	8.06	8.12	7.75	8.49	7.87	6.78	6.86	8.31	7.48	6.63
HD12	7.35	5.20	0	4.80	6.40	5.48	6.40	6.78	7.28	6.86	6.63	7.07	6.71	6.63	6.71	7.07	7.55	7.14	7.68	6.93	7.21	7.87	6.78	6.63	7.28	8.31	8.37	7.94	8.31	8.12	7.87	8.06	8.37	8.37	7.81	8.00	8.19	7.81	8.43	8.19	6.71	7.62	8.25	7.42	7.00
HD14	7.42	5.10	4.80	0	6.16	5.20	6.78	6.56	7.75	7.07	7.14	7.55	7.48	6.56	6.63	6.86	8.00	7.48	7.75	7.00	7.00	7.94	6.56	6.24	7.21	8.60	8.54	8.37	8.60	8.43	7.94	8.25	8.54	8.54	8.12	8.19	8.37	8.00	8.72	8.00	7.07	7.55	8.31	7.48	6.93
HD13	7.14	5.48	6.40	6.16	0	4.58	5.66	6.24	7.48	7.35	6.86	7.28	6.78	7.28	7.35	7.55	7.87	7.21	7.87	7.28	5.74	8.19	6.56	7.14	6.00	8.72	8.54	8.49	8.60	8.19	8.19	8.49	8.54	8.77	8.25	8.31	8.25	8.37	8.83	8.12	6.93	7.28	8.66	7.75	7.48
HD15	7.07	5.39	5.48	5.20	4.58	0	5.92	6.32	7.28	7.00	6.63	6.93	6.86	6.93	6.86	7.07	7.55	7.00	7.68	6.63	6.16	7.75	6.32	6.78	6.56	8.43	8.37	8.19	8.31	7.87	7.75	7.94	8.37	8.37	7.81	8.00	7.94	8.06	8.54	7.81	6.86	7.21	8.25	7.42	7.28
HD7	6.24	6.32	6.40	6.78	5.66	5.92	0	5.39	6.63	6.48	5.57	5.57	5.66	6.24	6.32	5.92	6.63	6.00	6.48	5.74	5.92	7.00	6.08	6.08	6.16	7.87	7.81	7.21	7.48	7.68	8.06	7.62	7.81	8.19	7.87	8.19	7.87	8.12	8.12	7.87	7.07	7.28	8.31	7.48	7.07
HD9	6.32	6.24	6.78	6.56	6.24	6.32	5.39	0	7.42	7.00	6.16	6.16	6.24	6.32	6.40	6.32	7.42	6.86	6.71	6.93	6.63	7.75	6.32	5.83	6.24	8.31	8.12	7.94	8.31	8.00	8.00	7.81	8.25	8.49	8.06	8.37	8.06	8.19	8.31	7.94	7.28	7.21	8.12	7.28	6.86
MD10	7.28	7.48	7.28	7.75	7.48	7.28	6.63	7.42	0	5.10	5.39	6.40	5.66	6.86	6.16	6.08	6.00	6.00	7.07	6.71	7.00	6.24	6.71	6.71	6.16	6.93	7.00	6.32	7.07	7.28	7.55	6.78	7.42	7.94	7.07	7.14	7.07	7.75	7.35	7.21	6.48	7.28	7.81	6.93	6.93
MD7	7.00	6.93	6.86	7.07	7.35	7.00	6.48	7.00	5.10	0	5.39	6.71	5.83	6.71	6.32	6.24	6.32	6.48	6.78	5.92	7.42	6.56	6.24	6.56	6.48	7.48	7.42	7.21	7.62	7.81	7.81	7.48	7.81	8.31	7.75	7.68	7.62	8.12	7.75	8.12	6.63	7.28	8.31	7.48	6.32
