unifrac	HD1	HD10	HD11	HD13	MD12	MD14	MD9	HD15	HD12	MD2	MD8	MD3	HD8	HD14	HD4	HD6	MD4	MD10	MD7	HD2	HD5	HD7	MD5	HD9	NC10	NC4	NC9	NC5	NC6	NC7	MD11	NC11	NC13	NC12	NC14	NC15	NC2	NC1	NC3	MD6	HD3	MD1	NC8	MD13	MD15
HD1	0	0.601	0.590	0.575	0.589	0.575	0.548	0.553	0.559	0.561	0.464	0.578	0.539	0.574	0.481	0.485	0.503	0.567	0.571	0.460	0.462	0.507	0.545	0.569	0.530	0.526	0.612	0.524	0.611	0.649	0.606	0.700	0.666	0.626	0.637	0.734	0.635	0.669	0.597	0.632	0.664	0.516	0.735	0.806	0.756
HD10	0.601	0	0.501	0.499	0.552	0.530	0.476	0.526	0.515	0.564	0.610	0.559	0.396	0.353	0.450	0.373	0.392	0.492	0.490	0.380	0.383	0.325	0.307	0.314	0.634	0.524	0.497	0.496	0.723	0.695	0.415	0.731	0.711	0.607	0.497	0.732	0.549	0.622	0.602	0.566	0.628	0.590	0.771	0.915	0.975
HD11	0.590	0.501	0	0.178	0.182	0.250	0.256	0.298	0.233	0.323	0.242	0.389	0.333	0.376	0.449	0.544	0.491	0.477	0.450	0.513	0.571	0.483	0.471	0.477	0.403	0.376	0.564	0.521	0.669	0.688	0.368	0.574	0.454	0.466	0.503	0.483	0.666	0.563	0.571	0.712	0.766	0.656	0.770	0.964	1.000
HD13	0.575	0.499	0.178	0	0.202	0.264	0.212	0.219	0.293	0.308	0.287	0.400	0.253	0.347	0.498	0.546	0.498	0.506	0.513	0.479	0.486	0.441	0.465	0.434	0.413	0.347	0.555	0.542	0.665	0.725	0.432	0.646	0.517	0.516	0.502	0.501	0.707	0.587	0.622	0.746	0.794	0.684	0.793	0.957	0.968
MD12	0.589	0.552	0.182	0.202	0	0.259	0.236	0.328	0.320	0.283	0.246	0.406	0.306	0.423	0.496	0.560	0.541	0.458	0.496	0.466	0.523	0.435	0.459	0.489	0.372	0.311	0.532	0.524	0.688	0.689	0.414	0.620	0.518	0.478	0.500	0.525	0.676	0.567	0.574	0.730	0.784	0.668	0.788	0.934	0.970
MD14	0.575	0.530	0.250	0.264	0.259	0	0.191	0.345	0.278	0.271	0.300	0.329	0.330	0.427	0.409	0.487	0.405	0.399	0.442	0.499	0.559	0.443	0.463	0.465	0.379	0.337	0.564	0.448	0.687	0.637	0.345	0.597	0.502	0.489	0.550	0.484	0.573	0.473	0.520	0.648	0.708	0.599	0.739	0.941	0.985
MD9	0.548	0.476	0.256	0.212	0.236	0.191	0	0.327	0.336	0.233	0.296	0.311	0.269	0.393	0.402	0.476	0.370	0.382	0.453	0.453	0.498	0.390	0.408	0.435	0.384	0.317	0.555	0.461	0.700	0.671	0.391	0.645	0.548	0.494	0.519	0.481	0.601	0.504	0.527	0.628	0.688	0.604	0.776	0.966	0.989
HD15	0.553	0.526	0.298	0.219	0.328	0.345	0.327	0	0.287	0.409	0.388	0.481	0.246	0.295	0.483	0.513	0.483	0.488	0.462	0.472	0.497	0.419	0.451	0.456	0.400	0.345	0.511	0.535	0.605	0.669	0.423	0.628	0.506	0.515	0.499	0.540	0.706	0.599	0.606	0.707	0.781	0.653	0.797	0.952	0.976
HD12	0.559	0.515	0.233	0.293	0.320	0.278	0.336	0.287	0	0.379	0.367	0.433	0.328	0.272	0.405	0.467	0.442	0.405	0.341	0.487	0.532	0.473	0.458	0.468	0.399	0.347	0.548	0.484	0.649	0.658	0.336	0.558	0.419	0.439	0.512	0.469	0.662	0.560	0.549	0.585	0.725	0.606	0.733	0.906	0.943
MD2	0.561	0.564	0.323	0.308	0.283	0.271	0.233	0.409	0.379	0	0.223	0.226	0.351	0.535	0.379	0.478	0.329	0.292	0.370	0.542	0.562	0.487	0.449	0.555	0.370	0.390	0.592	0.499	0.635	0.601	0.451	0.630	0.519	0.558	0.622	0.457	0.621	0.453	0.474	0.539	0.635	0.503	0.749	0.945	0.968
MD8	0.464	0.610	0.242	0.287	0.246	0.300	0.296	0.388	0.367	0.223	0	0.313	0.369	0.511	0.411	0.465	0.457	0.398	0.439	0.521	0.589	0.485	0.531	0.584	0.359	0.364	0.589	0.530	0.597	0.603	0.465	0.618	0.490	0.525	0.580	0.521	0.639	0.539	0.532	0.595	0.714	0.523	0.746	0.942	0.964
MD3	0.578	0.559	0.389	0.400	0.406	0.329	0.311	0.481	0.433	0.226	0.313	0	0.432	0.598	0.382	0.455	0.335	0.347	0.410	0.542	0.622	0.480	0.506	0.607	0.445	0.430	0.648	0.567	0.657	0.624	0.535	0.624	0.539	0.611	0.634	0.452	0.647	0.455	0.556	0.562	0.592	0.501	0.714	0.927	0.975
HD8	0.539	0.396	0.333	0.253	0.306	0.330	0.269	0.246	0.328	0.351	0.369	0.432	0	0.285	0.435	0.500	0.417	0.423	0.453	0.355	0.422	0.294	0.322	0.358	0.349	0.294	0.427	0.484	0.626	0.642	0.401	0.598	0.518	0.481	0.435	0.540	0.659	0.571	0.575	0.666	0.747	0.593	0.758	0.950	0.973
HD14	0.574	0.353	0.376	0.347	0.423	0.427	0.393	0.295	0.272	0.535	0.511	0.598	0.285	0	0.473	0.489	0.452	0.543	0.475	0.356	0.389	0.348	0.333	0.319	0.540	0.405	0.460	0.520	0.649	0.685	0.363	0.622	0.572	0.509	0.402	0.623	0.691	0.649	0.596	0.637	0.754	0.655	0.789	0.923	0.946
HD4	0.481	0.450	0.449	0.498	0.496	0.409	0.402	0.483	0.405	0.379	0.411	0.382	0.435	0.473	0	0.240	0.263	0.341	0.329	0.421	0.485	0.410	0.373	0.515	0.424	0.402	0.496	0.391	0.588	0.529	0.348	0.587	0.583	0.492	0.536	0.543	0.469	0.394	0.388	0.484	0.404	0.445	0.640	0.962	0.985
HD6	0.485	0.373	0.544	0.546	0.560	0.487	0.476	0.513	0.467	0.478	0.465	0.455	0.500	0.489	0.240	0	0.309	0.343	0.276	0.473	0.489	0.366	0.399	0.519	0.533	0.476	0.520	0.420	0.595	0.539	0.417	0.631	0.625	0.539	0.585	0.605	0.487	0.462	0.424	0.416	0.431	0.419	0.661	0.893	0.942
MD4	0.503	0.392	0.491	0.498	0.541	0.405	0.370	0.483	0.442	0.329	0.457	0.335	0.417	0.452	0.263	0.309	0	0.390	0.385	0.473	0.526	0.383	0.366	0.494	0.497	0.482	0.565	0.421	0.635	0.589	0.422	0.641	0.641	0.588	0.561	0.622	0.521	0.472	0.466	0.502	0.481	0.416	0.700	0.930	0.975
MD10	0.567	0.492	0.477	0.506	0.458	0.399	0.382	0.488	0.405	0.292	0.398	0.347	0.423	0.543	0.341	0.343	0.390	0	0.226	0.572	0.611	0.493	0.477	0.620	0.410	0.394	0.588	0.412	0.615	0.565	0.403	0.571	0.475	0.532	0.603	0.481	0.520	0.344	0.354	0.376	0.534	0.516	0.679	0.920	0.948
MD7	0.571	0.490	0.450	0.513	0.496	0.442	0.453	0.462	0.341	0.370	0.439	0.410	0.453	0.475	0.329	0.276	0.385	0.226	0	0.587	0.597	0.447	0.468	0.575	0.490	0.440	0.580	0.438	0.619	0.576	0.340	0.538	0.476	0.477	0.579	0.496	0.551	0.390	0.367	0.386	0.532	0.498	0.697	0.870	0.914
HD2	0.460	0.380	0.513	0.479	0.466	0.499	0.453	0.472	0.487	0.542	0.521	0.542	0.355	0.356	0.421	0.473	0.473	0.572	0.587	0	0.221	0.259	0.226	0.360	0.490	0.410	0.465	0.447	0.647	0.668	0.485	0.715	0.709	0.549	0.467	0.686	0.554	0.587	0.596	0.662	0.628	0.567	0.706	0.953	0.975
HD5	0.462	0.383	0.571	0.486	0.523	0.559	0.498	0.497	0.532	0.562	0.589	0.622	0.422	0.389	0.485	0.489	0.526	0.611	0.597	0.221	0	0.360	0.273	0.318	0.558	0.423	0.445	0.497	0.659	0.644	0.518	0.772	0.755	0.613	0.535	0.685	0.567	0.600	0.569	0.673	0.609	0.567	0.716	0.878	0.900
HD7	0.507	0.325	0.483	0.441	0.435	0.443	0.390	0.419	0.473	0.487	0.485	0.480	0.294	0.348	0.410	0.366	0.383	0.493	0.447	0.259	0.360	0	0.206	0.282	0.470	0.365	0.434	0.434	0.621	0.591	0.430	0.676	0.655	0.534	0.460	0.672	0.562	0.579	0.542	0.600	0.656	0.516	0.701	0.919	0.963
MD5	0.545	0.307	0.471	0.465	0.459	0.463	0.408	0.451	0.458	0.449	0.531	0.506	0.322	0.333	0.373	0.399	0.366	0.477	0.468	0.226	0.273	0.206	0	0.278	0.492	0.393	0.412	0.405	0.619	0.573	0.403	0.702	0.681	0.541	0.476	0.648	0.550	0.572	0.502	0.573	0.614	0.533	0.666	0.961	0.984
HD9	0.569	0.314	0.477	0.434	0.489	0.465	0.435	0.456	0.468	0.555	0.584	0.607	0.358	0.319	0.515	0.519	0.494	0.620	0.575	0.360	0.318	0.282	0.278	0	0.581	0.483	0.481	0.514	0.686	0.650	0.412	0.726	0.705	0.602	0.525	0.707	0.595	0.660	0.622	0.669	0.744	0.651	0.749	0.910	0.948
NC10	0.530	0.634	0.403	0.413	0.372	0.379	0.384	0.400	0.399	0.370	0.359	0.445	0.349	0.540	0.424	0.533	0.497	0.410	0.490	0.490	0.558	0.470	0.492	0.581	0	0.245	0.349	0.411	0.358	0.353	0.464	0.564	0.435	0.434	0.528	0.465	0.597	0.485	0.461	0.609	0.704	0.551	0.572	0.962	1.000
NC4	0.526	0.524	0.376	0.347	0.311	0.337	0.317	0.345	0.347	0.390	0.364	0.430	0.294	0.405	0.402	0.476	0.482	0.394	0.440	0.410	0.423	0.365	0.393	0.483	0.245	0	0.319	0.326	0.533	0.509	0.353	0.539	0.405	0.337	0.434	0.427	0.527	0.384	0.374	0.634	0.608	0.480	0.626	0.947	0.987
