bray_curtis_binary	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
HD1	0	0.590	0.688	0.692	0.630	0.696	0.658	0.515	0.761	0.471	0.661	0.571	0.506	0.575	0.541	0.552	0.768	0.759	0.803	1.000	0.810	1.000	0.657	0.534	0.512	0.667	0.650	0.636	0.529	0.605	0.893	0.857	0.944	0.917	1.000	0.913	0.915	0.855	0.892	0.821	0.818	0.824	0.884	0.840	0.868
HD10	0.590	0	0.518	0.524	0.586	0.459	0.561	0.528	0.699	0.505	0.631	0.400	0.446	0.581	0.425	0.644	0.600	0.596	0.714	0.972	0.644	1.000	0.500	0.544	0.409	0.462	0.605	0.518	0.595	0.563	0.802	0.842	0.818	0.897	0.870	0.813	0.870	0.760	0.825	0.833	0.807	0.892	0.813	0.852	0.854
HD11	0.688	0.518	0	0.325	0.349	0.310	0.358	0.690	0.750	0.587	0.813	0.573	0.488	0.553	0.494	0.667	0.757	0.500	0.605	0.972	0.528	1.000	0.653	0.564	0.586	0.662	0.694	0.585	0.534	0.512	0.900	0.893	0.789	0.844	0.789	0.838	0.868	0.892	0.899	0.880	0.902	0.836	0.865	0.900	0.901
HD12	0.692	0.524	0.325	0	0.471	0.271	0.366	0.611	0.781	0.634	0.692	0.533	0.494	0.605	0.575	0.699	0.707	0.551	0.584	0.944	0.644	0.965	0.579	0.570	0.568	0.641	0.721	0.566	0.622	0.609	0.852	0.868	0.792	0.821	0.792	0.893	0.870	0.840	0.875	0.833	0.831	0.838	0.867	0.877	0.854
HD13	0.630	0.586	0.349	0.471	0	0.432	0.247	0.707	0.816	0.646	0.794	0.570	0.372	0.371	0.470	0.684	0.718	0.609	0.600	1.000	0.570	1.000	0.595	0.561	0.582	0.704	0.753	0.628	0.558	0.400	0.905	0.848	0.850	0.852	0.875	0.846	0.850	0.923	0.880	0.839	0.860	0.870	0.923	0.929	0.906
HD14	0.696	0.459	0.310	0.271	0.432	0	0.325	0.589	0.865	0.638	0.667	0.538	0.548	0.563	0.531	0.757	0.789	0.533	0.641	0.945	0.626	0.966	0.662	0.700	0.640	0.595	0.724	0.595	0.573	0.591	0.902	0.922	0.846	0.848	0.821	0.842	0.897	0.921	0.901	0.859	0.881	0.840	0.895	0.927	0.880
HD15	0.658	0.561	0.358	0.366	0.247	0.325	0	0.686	0.803	0.648	0.746	0.500	0.432	0.452	0.513	0.690	0.726	0.609	0.627	0.971	0.591	1.000	0.595	0.610	0.558	0.658	0.714	0.605	0.556	0.506	0.899	0.838	0.813	0.842	0.867	0.836	0.840	0.918	0.897	0.854	0.852	0.833	0.863	0.924	0.875
HD2	0.515	0.528	0.690	0.611	0.707	0.589	0.686	0	0.705	0.580	0.283	0.538	0.549	0.757	0.588	0.574	0.746	0.740	0.785	1.000	0.769	1.000	0.594	0.552	0.605	0.303	0.703	0.634	0.581	0.680	0.797	0.813	0.908	0.939	0.969	0.841	0.877	0.746	0.824	0.778	0.746	0.839	0.810	0.768	0.829
HD3	0.761	0.699	0.750	0.781	0.816	0.865	0.803	0.705	0	0.463	0.630	0.494	0.611	0.680	0.797	0.419	0.563	0.615	0.879	0.967	0.747	1.000	0.631	0.529	0.610	0.731	0.547	0.556	0.746	0.658	0.514	0.692	0.818	0.701	0.848	0.875	0.727	0.563	0.565	0.644	0.583	0.778	0.594	0.686	0.718
HD4	0.471	0.505	0.587	0.634	0.646	0.638	0.648	0.580	0.463	0	0.649	0.313	0.457	0.621	0.506	0.488	0.595	0.571	0.767	0.975	0.677	1.000	0.553	0.500	0.423	0.586	0.600	0.500	0.590	0.542	0.711	0.788	0.837	0.793	0.907	0.881	0.791	0.690	0.708	0.720	0.696	0.783	0.690	0.756	0.780
HD5	0.661	0.631	0.813	0.692	0.794	0.667	0.746	0.283	0.630	0.649	0	0.577	0.625	0.791	0.672	0.593	0.679	0.771	0.862	1.000	0.831	1.000	0.579	0.633	0.652	0.424	0.731	0.625	0.673	0.735	0.742	0.754	0.931	0.898	0.966	0.857	0.828	0.714	0.738	0.692	0.719	0.818	0.714	0.774	0.778
HD6	0.571	0.400	0.573	0.533	0.570	0.538	0.500	0.538	0.494	0.313	0.577	0	0.371	0.565	0.558	0.418	0.556	0.474	0.759	0.974	0.667	1.000	0.537	0.529	0.447	0.476	0.413	0.393	0.425	0.548	0.724	0.805	0.831	0.833	0.855	0.827	0.807	0.753	0.744	0.733	0.730	0.775	0.704	0.747	0.773
HD7	0.506	0.446	0.488	0.494	0.372	0.548	0.432	0.549	0.611	0.457	0.625	0.371	0	0.412	0.367	0.500	0.595	0.568	0.658	0.972	0.596	1.000	0.413	0.410	0.356	0.455	0.576	0.512	0.507	0.442	0.775	0.787	0.816	0.870	0.868	0.838	0.816	0.703	0.772	0.735	0.683	0.890	0.784	0.825	0.827
HD8	0.575	0.581	0.553	0.605	0.371	0.563	0.452	0.757	0.680	0.621	0.791	0.565	0.412	0	0.537	0.573	0.636	0.582	0.747	0.973	0.630	1.000	0.615	0.580	0.578	0.725	0.636	0.647	0.579	0.438	0.831	0.769	0.823	0.800	0.873	0.844	0.873	0.818	0.805	0.744	0.741	0.868	0.818	0.928	0.833
HD9	0.541	0.425	0.494	0.575	0.470	0.531	0.513	0.588	0.797	0.506	0.672	0.558	0.367	0.537	0	0.681	0.775	0.553	0.726	0.971	0.605	1.000	0.528	0.520	0.452	0.541	0.732	0.620	0.571	0.470	0.896	0.889	0.890	0.946	0.918	0.887	0.890	0.887	0.868	0.850	0.873	0.914	0.859	0.896	0.923
MD1	0.552	0.644	0.667	0.699	0.684	0.757	0.690	0.574	0.419	0.488	0.593	0.418	0.500	0.573	0.681	0	0.563	0.564	0.879	0.967	0.797	1.000	0.600	0.529	0.558	0.612	0.440	0.583	0.524	0.632	0.657	0.785	0.848	0.761	0.848	0.875	0.818	0.688	0.739	0.699	0.667	0.746	0.688	0.686	0.690
MD10	0.768	0.600	0.757	0.707	0.718	0.789	0.726	0.746	0.563	0.595	0.679	0.556	0.595	0.636	0.775	0.563	0	0.600	0.618	0.968	0.654	1.000	0.433	0.457	0.519	0.536	0.506	0.351	0.692	0.487	0.667	0.791	0.735	0.739	0.882	0.788	0.735	0.606	0.690	0.733	0.676	0.877	0.697	0.750	0.863
MD11	0.759	0.596	0.500	0.551	0.609	0.533	0.609	0.740	0.615	0.571	0.771	0.474	0.568	0.582	0.553	0.564	0.600	0	0.659	0.974	0.516	1.000	0.630	0.667	0.656	0.687	0.538	0.455	0.570	0.565	0.791	0.852	0.780	0.807	0.829	0.875	0.829	0.850	0.835	0.820	0.841	0.848	0.825	0.837	0.862
MD12	0.803	0.714	0.605	0.584	0.600	0.641	0.627	0.785	0.879	0.767	0.862	0.759	0.658	0.747	0.726	0.879	0.618	0.659	0	0.938	0.422	0.960	0.536	0.639	0.679	0.746	0.823	0.579	0.731	0.525	0.811	0.797	0.771	0.831	0.857	0.765	0.857	0.824	0.781	0.818	0.868	1.000	0.912	0.973	0.920
MD13	1.000	0.972	0.972	0.944	1.000	0.945	0.971	1.000	0.967	0.975	1.000	0.974	0.972	0.973	0.971	0.967	0.968	0.974	0.938	0	0.949	0.422	0.969	0.970	0.974	0.970	0.973	0.972	1.000	0.973	0.942	0.969	0.938	0.939	0.938	0.968	0.969	0.937	0.941	0.972	0.944	1.000	0.937	0.971	0.971
MD14	0.810	0.644	0.528	0.644	0.570	0.626	0.591	0.769	0.747	0.677	0.831	0.667	0.596	0.630	0.605	0.797	0.654	0.516	0.422	0.949	0	0.968	0.610	0.576	0.617	0.690	0.783	0.596	0.750	0.548	0.816	0.829	0.735	0.857	0.855	0.753	0.831	0.827	0.814	0.800	0.820	0.925	0.852	0.954	0.909
MD15	1.000	1.000	1.000	0.965	1.000	0.966	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.960	0.422	0.968	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
MD2	0.657	0.500	0.653	0.579	0.595	0.662	0.595	0.594	0.631	0.553	0.579	0.537	0.413	0.615	0.528	0.600	0.433	0.630	0.536	0.969	0.610	1.000	0	0.380	0.325	0.486	0.590	0.387	0.515	0.443	0.671	0.735	0.826	0.857	0.971	0.881	0.797	0.731	0.722	0.737	0.733	0.909	0.761	0.918	0.865
MD3	0.534	0.544	0.564	0.570	0.561	0.700	0.610	0.552	0.529	0.500	0.633	0.529	0.410	0.580	0.520	0.529	0.457	0.667	0.639	0.970	0.576	1.000	0.380	0	0.325	0.534	0.654	0.436	0.623	0.415	0.684	0.746	0.778	0.753	0.889	0.857	0.750	0.686	0.733	0.696	0.667	0.855	0.743	0.816	0.844
MD4	0.512	0.409	0.586	0.568	0.582	0.640	0.558	0.605	0.610	0.423	0.652	0.447	0.356	0.578	0.452	0.558	0.519	0.656	0.679	0.974	0.617	1.000	0.325	0.325	0	0.463	0.600	0.517	0.590	0.451	0.741	0.775	0.802	0.878	0.926	0.823	0.827	0.722	0.786	0.773	0.747	0.897	0.772	0.859	0.837
MD5	0.667	0.462	0.662	0.641	0.704	0.595	0.658	0.303	0.731	0.586	0.424	0.476	0.455	0.725	0.541	0.612	0.536	0.687	0.746	0.970	0.690	1.000	0.486	0.534	0.463	0	0.650	0.506	0.588	0.630	0.840	0.857	0.887	0.917	0.944	0.797	0.859	0.797	0.838	0.846	0.792	0.912	0.797	0.840	0.895
MD6	0.650	0.605	0.694	0.721	0.753	0.724	0.714	0.703	0.547	0.600	0.731	0.413	0.576	0.636	0.732	0.440	0.506	0.538	0.823	0.973	0.783	1.000	0.590	0.654	0.600	0.650	0	0.506	0.526	0.640	0.759	0.872	0.899	0.875	0.899	0.896	0.848	0.766	0.756	0.791	0.788	0.842	0.766	0.807	0.833
MD7	0.636	0.518	0.585	0.566	0.628	0.595	0.605	0.634	0.556	0.500	0.625	0.393	0.512	0.647	0.620	0.583	0.351	0.455	0.579	0.972	0.596	1.000	0.387	0.436	0.517	0.506	0.506	0	0.534	0.488	0.700	0.813	0.789	0.766	0.868	0.892	0.763	0.703	0.696	0.735	0.707	0.836	0.757	0.750	0.852
