function	description	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
EC:1.1.1.1	Alcohol dehydrogenase	43862.81000000001	55152.35	63957.02000000001	48137.10000000001	65638.0	55984.20000000001	65080.28999999999	54357.85	33775.04	47885.41	48166.86	43185.679999999986	64425.93999999999	67232.17	62419.79000000001	47461.29	46333.69	53099.26	69927.82	50854.07	62057.63000000001	43914.65	56555.31000000001	51845.95	57876.99000000001	54728.65	36515.4	46106.37	56318.30999999999	62627.45999999999	45537.37	67309.55	49518.99999999999	49695.02	57442.81000000001	52273.01999999999	45237.65	54656.14	42486.84000000001	58179.04000000001	53061.07000000001	64971.50999999999	60260.71000000002	57849.52	63182.2
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	110612.53000000004	125727.51	152577.8	127106.35000000006	157537.58000000002	136699.32	153257.86	128772.19000000006	77150.51000000002	109285.85	116067.88	106005.14	144096.18000000002	155139.94000000006	139001.86000000004	104983.69000000002	108614.89	117708.95	162651.46	90358.07	139931.08999999994	82555.57	132941.7	121507.66000000002	129044.01	120240.37000000002	90423.83	113686.01	135242.77	151537.75000000006	102391.73	147843.97999999998	123132.72000000006	121482.81000000006	143507.34000000005	125236.28	112889.58000000002	105145.01000000002	98707.25	144656.74000000002	119093.82	127159.57	112286.13999999998	106260.88000000003	138294.87000000002
EC:1.1.1.103	L-threonine 3-dehydrogenase	3853.49	7683.48	5045.0	3434.84	4960.33	5983.29	5534.8	6411.51	3871.17	3640.56	3284.0	5539.33	10994.33	5114.82	8719.49	9163.66	4030.26	3851.87	8346.470000000001	4952.43	4880.28	6606.7	3498.67	3343.66	5819.82	8365.83	3145.7000000000007	2790.83	4325.17	5091.41	3959.0	7775.34	2633.97	7407.66	3571.49	7973.84	3115.97	6525.16	4209.0	8696.0	5603.63	6851.34	6404.67	5639.66	8006.33
EC:1.1.1.105	All-trans-retinol dehydrogenase (NAD(+))	24.0	0.0	10.0	6.0	18.0	0.0	0.0	0.0	0.0	0.0	11.0	3.0	12.0	0.0	0.0	4.0	21.0	9.0	1.0	5.0	3.0	0.0	6.0	1.0	20.0	0.0	16.0	3.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	23.0	7.0	16.0	5.0	7.0	4.0	0.0	0.0	14.0	2.0
EC:1.1.1.108	Carnitine 3-dehydrogenase	3.0	2.0	0.0	0.0	2.0	52.0	57.0	2.0	1.0	1.0	3.0	0.0	0.0	1.0	2.0	2.0	1.0	75.0	80.0	83.0	86.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0
EC:1.1.1.11	D-arabinitol 4-dehydrogenase	0.0	0.14	0.0	0.0	0.0	7.29	9.29	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	1.43	24.71	22.14	50.43	16.29	0.71	0.0	0.0	0.0	0.0	0.86	1.0	0.0	1.5699999999999998	0.0	0.0	0.14	1.0	0.0	0.0	0.14	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0
EC:1.1.1.122	D-threo-aldose 1-dehydrogenase	24.0	0.0	10.0	6.0	18.0	0.0	0.0	0.0	0.0	0.0	11.0	3.0	12.0	0.0	0.0	4.0	21.0	9.0	1.0	5.0	3.0	0.0	6.0	1.0	20.0	0.0	16.0	3.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	23.0	7.0	16.0	5.0	7.0	4.0	0.0	0.0	14.0	2.0
EC:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase	3094.0	2719.9500000000007	4072.33	2639.0	4475.0	3460.58	10623.58	956.0	1317.0	2664.14	523.0	3388.33	3526.0	6775.0	3293.5	2363.67	1666.86	4792.42	4728.28	1889.19	5375.08	1035.42	1936.33	2498.0	6193.33	895.5	1945.72	1528.0	4110.0	4909.6399999999985	1576.83	8323.0	2942.78	1850.5	4648.5	4876.5	2419.28	2146.83	1193.33	5243.0	2938.11	4283.5	4509.0	1268.0	5276.0
EC:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	2867.67	7395.3200000000015	4931.83	2864.0	5011.99	5509.29	6668.13	4924.83	1016.33	2742.24	2013.33	5045.68	10422.0	5431.84	8420.16	4848.83	2833.6	3645.71	7856.3	439.6	3923.28	292.86999999999995	2589.67	2455.5	5421.5	7276.0	2126.86	1721.67	3647.51	5220.41	1948.67	6442.02	2054.9700000000007	6631.81	2555.33	8119.01	2100.9700000000007	3455.83	2815.99	6047.66	3450.3	5299.33	3253.67	3882.0	6504.01
EC:1.1.1.132	GDP-mannose 6-dehydrogenase	2.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	5.0	5.0	2.0	0.0	4.0	0.0	1.0	0.0	3.0	1.0	4.0	0.0	0.0	1.0	5.0	4.0	3.0	7.0	0.0	3.0	3.0	5.0	11.0	8.0	8.0	6.0	4.0	0.0	5.0
EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase	38768.87	48802.14000000002	59428.53000000001	47769.60000000002	59590.43000000003	52234.11	56975.47000000001	48041.87000000001	32876.92	43975.610000000015	39448.11	42442.77000000002	58867.51	59594.47000000002	54404.43000000002	43520.67000000001	41214.69	47783.52000000001	62038.10000000001	91259.77000000002	53392.39999999998	80320.56000000003	48075.03	44296.08	47652.94	46100.17000000001	35454.240000000005	42258.58	51424.76	59437.31999999996	38659.14	59146.3	40755.430000000015	48971.40000000001	51350.03000000001	49087.21000000002	44123.66	43501.77	37140.92	55468.82000000001	44842.88999999999	46455.14	43437.77	34271.870000000024	49443.17000000001
EC:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	1291.65	736.41	749.93	1002.9700000000003	762.0699999999998	1170.16	1372.5800000000004	1038.65	532.33	950.07	700.5400000000002	1153.77	1153.33	1034.87	866.9499999999998	1339.45	1100.4100000000003	606.6700000000002	667.1600000000002	131.99	927.62	171.82	1029.66	1146.5	1369.25	1056.1	1502.16	1157.4400000000005	1551.99	779.7599999999996	486.98	1249.1600000000005	725.49	590.94	780.6400000000001	322.42000000000013	806.73	622.33	491.75	1485.32	1280.3200000000004	888.84	1199.28	496.79	1205.38
EC:1.1.1.137	Ribitol-5-phosphate 2-dehydrogenase	15.0	83.5	21.75	15.5	1.0	10.75	19.0	9.0	22.0	15.0	15.0	17.25	41.5	4.0	9.0	35.0	103.0	8.5	22.0	448.0	10.0	11.0	7.0	8.0	14.0	10.0	27.0	44.0	11.0	67.0	13.0	16.0	53.0	13.0	29.0	29.0	42.0	35.0	13.0	15.0	43.0	26.0	16.0	105.0	65.0
EC:1.1.1.14	L-iditol 2-dehydrogenase	34386.890000000014	38281.59000000001	49458.26000000001	38895.640000000014	51644.31000000001	44733.33	54324.09	43632.070000000014	22669.42	36762.48	36246.43	32210.840000000015	46231.99	53365.7	45382.01000000001	34030.580000000016	33274.17	38562.66	50214.06000000001	42924.390000000014	49106.53999999999	24249.89000000001	45595.65	39908.08	43180.01	38697.09000000001	27133.64000000001	34979.36	45949.49	52093.10999999998	28251.82000000001	53522.7	29195.97000000001	32757.07000000001	42070.970000000016	33439.00000000001	31795.62000000001	31394.14	24976.47000000001	47751.07	38769.99	39978.15	42583.389999999985	24506.86000000001	43771.62
EC:1.1.1.140	Sorbitol-6-phosphate 2-dehydrogenase	2.0	5.4700000000000015	9.33	2.33	0.0	20.62	7.29	16.67	9.33	15.9	0.67	4.0	6.67	6.33	9.83	4.33	9.76	84.03999999999998	143.47	7435.43	275.12	6804.71	7.33	4.0	6.33	7.0	17.86	11.33	5.67	3.24	8.0	20.33	10.81	8.67	3.33	1.0	15.14	9.67	10.33	11.5	32.47	22.17	6.33	19.0	7.0
EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	29147.89000000001	32906.790000000015	44317.18000000001	36998.140000000014	48204.48000000001	38411.0	45218.54	37799.320000000014	21082.42	31061.050000000007	35405.020000000004	24966.16000000001	32428.58	46759.86000000001	35968.10000000001	21719.670000000006	27992.35	30658.6	42280.05	7792.54	40132.889999999985	4323.11	41544.06	37050.67	37790.429999999986	28760.92000000001	20098.920000000006	31105.03000000001	37719.4	44933.08999999998	30930.15000000001	32943.1	33266.25000000001	26336.26000000001	37624.31000000001	28929.700000000015	29470.89000000001	30221.85	25595.81	36141.49	32269.89	27058.15	21585.13	21799.27000000002	33341.53000000001
EC:1.1.1.159	7-alpha-hydroxysteroid dehydrogenase	4209.75	5974.83	5670.83	6070.83	8048.75	6970.58	6943.75	5645.17	5402.58	5095.83	3251.42	4443.25	9166.92	12979.83	8554.33	5395.58	4110.33	7330.58	4699.58	4027.5	8770.83	6414.5	6250.08	5494.0	5420.83	5009.0	3965.25	5019.58	6070.42	9236.42	5536.25	8958.58	2726.67	4028.17	6669.33	3922.5	2834.25	7141.17	4035.58	10396.0	8108.08	7121.17	7971.08	2785.5	12815.25
EC:1.1.1.163	Cyclopentanol dehydrogenase	8.0	0.0	5.33	3.0	2.33	0.0	0.0	3.33	0.0	0.0	8.33	4.0	3.0	2.33	0.0	5.0	3.33	3.67	3.67	2.67	1.33	3.0	4.67	4.33	2.33	4.0	5.67	3.0	0.67	1.33	0.33	5.0	3.67	0.0	0.0	5.33	4.0	6.33	3.67	5.33	3.33	0.0	0.0	7.33	5.0
EC:1.1.1.169	2-dehydropantoate 2-reductase	34718.3	37333.890000000014	42674.77	34457.770000000004	47273.53000000001	40317.2	45151.34	40906.44	22110.450000000004	30108.01	37443.539999999986	29509.52	47633.69	46969.19000000001	44309.64000000001	32775.81	31351.52	31989.48	53196.05	47052.59	40473.76	46504.28	40574.330000000016	34433.62	37470.99	39843.41	24051.29	31078.539999999994	40933.41	45760.2	27607.21	45267.48	25696.59	35684.12000000002	37004.55	38273.97	28879.65	24469.59	26891.180000000004	45019.3	32062.17	33511.929999999986	29164.86	18937.96	37816.95
EC:1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase	236.0	248.14	637.0	412.0	196.0	196.29	138.29000000000002	148.0	59.0	261.57	117.0	267.0	494.0	48.0	450.5	131.0	318.43	2275.21	598.14	4654.93	2315.79	1477.71	62.0	146.0	136.0	122.0	371.86	953.0	212.0	150.57	293.0	193.0	409.14	295.5	651.0	243.0	397.14	545.0	317.0	378.5	366.14	144.5	333.0	525.0	222.0
EC:1.1.1.179	D-xylose 1-dehydrogenase (NADP(+))	1.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	645.0	4.0	353.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0
