pathway	description	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	37193.3098	42535.1213	50248.3367	43522.3534	51019.5629	45265.1033	48145.1035	43995.2612	29502.0534	38141.9263	40692.5134	37289.5322	47045.948	51022.9118	45685.0215	36849.0776	39206.5937	40250.4979	53051.0439	44960.9593	46698.6447	42524.8197	46210.3224	41403.2652	42338.0606	41171.4886	32910.5195	41112.7131	45337.3885	49832.5848	37512.156	47956.242999999995	39743.2792	42595.6435	47047.5422	42244.0398	40751.9852	39323.3687	36382.0778	48440.4424	42346.7551	41653.7203	38412.0367	35339.84	45891.6581
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	3.0571	2.9242	2.2633	0.0	0.0	25.4442	21.6768	0.0	1.7455	8.7368	0.0	4.5573	0.0	0.0	5.4909	0.0	20.2579	99.5188	50.5714	401.4086	93.5752	83.3243	0.0	0.0	7.2813	0.0	27.6506	14.8427	6.5617	5.2045	0.0	0.0	0.245	5.2351	0.0	0.0	0.3245	0.0	0.0	3.2907	0.32299999999999995	0.8749	0.0	2.7284	0.0
AEROBACTINSYN-PWY	aerobactin biosynthesis	1.0	1.14	1.25	0.0	0.0	2.29	1.29	0.0	1.0	4.57	0.0	2.0	0.0	0.0	2.0	0.0	9.43	25.71	1.14	188.43	34.29	31.71	0.0	0.0	3.0	0.0	13.86	8.0	3.0	1.57	0.0	0.0	0.185	1.28	0.0	0.0	0.1855	0.0	0.0	1.0	0.14	0.0	0.0	1.0	0.0
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	76.8842	119.6126	165.6036	100.6346	0.0	333.4056	188.6354	333.7161	207.1737	208.2024	31.2081	84.3026	140.942	114.8304	222.6328	16.6351	154.5721	808.3366	876.5932	11437.5576	1417.8079	14993.388	92.4114	74.0453	147.6495	165.268	347.4346	205.4946	137.8481	85.3935	47.6781	111.95100000000001	234.333	291.7891	16.8127	0.0	7.2502	32.9117	60.2228	159.6253	22.3492	326.7278	16.9712	51.2689	51.0265
ANAEROFRUCAT-PWY	homolactic fermentation	19964.8039	29861.2021	26941.5793	25727.2611	28776.8703	25557.5235	22673.527000000002	28906.592	23041.2313	22776.3891	25313.93	22957.3495	36469.8281	29585.8588	35418.3313	24390.8335	23247.8727	30643.5885	38549.1264	40014.7626	29136.6609	30129.7586	21274.3724	19655.3156	22552.3057	32809.1427	24429.1737	29631.929	23340.671000000002	24230.9044	32868.1409	37183.0579	25914.0074	26342.9962	28859.1092	28475.0898	28201.8162	41359.8119	28256.3519	25904.9694	34222.5257	41583.9931	35554.7295	40925.1908	35446.3838
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	48984.3116	54570.2162	63280.1213	54877.2611	64139.6749	57834.0133	61790.1685	56395.5246	36830.6803	47775.0703	51818.0143	47661.7948	60263.6552	63819.9553	58649.1543	46324.3809	49077.8698	50691.1333	67226.6197	63267.1469	58562.3651	60771.2238	57436.3228	52065.8254	54261.8945	52865.8679	41564.2548	52193.1503	56862.5889	61927.9114	48017.8198	62084.7187	53562.3915	54106.1527	61238.6548	53726.2717	52168.9831	51893.056	46005.1221	61996.9217	54618.9216	54817.5498	50562.1667	50357.407	60039.3819
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	2195.4781	2429.7670000000003	3123.6526	2448.9896	1855.1959	2586.3987	1738.7641	2555.0401	1581.4689	2083.7309	2524.1306	1686.6114	2464.4	1990.0587	2328.923	1673.9808	1936.2859	7946.9902	4232.9862	13276.4203	8591.6625	13715.5817	2092.9006	2215.3726	2677.652	2329.9741	2090.4097	4021.2962	1358.8906	1180.3110000000001	7334.9222	2881.3562	5128.9085	3655.6837	5907.5152	1851.3645	3560.6569	11731.5312	4086.8482	3795.2117	7659.6622	2452.5684	6362.5897	12341.2776	4010.0718
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	5.232	8.6458	10.7369	5.4270000000000005	0.0	36.9281	15.6639	33.3365	18.6954	16.836	1.5603	5.5865	10.8383	12.2064	24.039	0.7695	23.4943	186.4596	277.2505	5942.4388	557.1892	7863.7623	7.6808	4.6362	13.5682	13.7557	42.0398	25.2733	13.6902	8.1072	2.3317	5.4198	15.6333	18.8422	0.7698	0.0	0.0	1.5628	3.0993	13.4522	0.9045	16.5357	0.7698	2.7981	2.3298
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	3312.3753	2789.3693	2795.4952	2630.8004	2622.42	3305.7115	5703.4047	2177.3433	1914.0803	2863.7785	1653.5829999999999	3130.0125	3289.6624	3891.9917	2710.5746	2852.5117	2606.8175	3862.6229	3911.4842	2216.6283	4419.1208	1049.3782	2402.2258	3032.3809	5257.8681	2383.5697	2246.2875	3210.5797	3001.1354	2986.5594	3286.8853	4925.5353	2849.4724	2131.2738	3679.4766	1961.54	2686.5979	5952.6066	2329.5828	4829.3291	6420.1908	4668.6939	4463.0344	4061.2818	4719.0706
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	40824.6178	42437.3456	50802.1333	41603.9293	52647.8625	45349.4321	49272.1671	46085.3731	28472.7847	37359.0489	43315.0049	34301.7782	47880.6981	51492.9503	47364.9967	36182.8584	38025.1185	37334.1955	55091.3808	26807.8219	46237.5755	24671.7998	47235.4303	41922.2809	42793.0954	42927.2454	30366.8058	39013.4258	46496.1023	50264.0487	36351.8162	49402.7933	40416.9142	40557.8387	47557.4486	42269.6057	38799.0034	37659.5747	35241.7407	48999.8219	41955.155	44437.5751	38429.3648	36652.4047	46555.2818
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	43317.5292	43267.9887	52507.5898	42615.3044	55000.9552	46678.4537	51200.8327	47728.100999999995	29436.5457	38387.4504	45543.6908	34900.0777	49244.931	53679.5744	49055.4563	37741.7368	38789.4959	37961.5016	56968.7673	22904.4867	47616.5495	20781.2065	48964.7718	43367.4455	43962.7322	44108.3949	30435.9937	39624.4875	48458.8421	52191.163	37418.4991	51754.4203	41523.5103	41394.2863	49005.4996	43124.538	39712.1557	38689.1704	36114.0972	50713.37	43133.4542	46927.234000000004	40493.9907	38111.9141	48630.9173
ARO-PWY	chorismate biosynthesis I	46028.8839	49114.7675	57953.594000000005	49257.7692	59795.0834	52147.1821	56132.3596	52178.9284	33737.293	43501.5365	48694.0085	42439.6773	54119.6498	58532.3295	52728.2557	42347.845	45752.5516	43054.7059	61450.4019	42217.301	51918.7586	40050.8338	54137.4505	48756.1537	49517.9643	48224.1576	37524.9967	46804.8942	53228.9152	57445.9605	42686.6066	56568.0567	49845.5248	49127.4219	57619.3102	49561.593	47212.3517	43947.8347	42071.9724	56537.268	49198.4192	49806.3542	44443.0293	42594.0101	53781.6726
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	34133.8235	42323.3437	46940.5764	43108.2776	47803.7135	43600.1485	43779.5286	45146.212999999996	28676.8733	37675.2702	40271.6031	38081.2646	45428.1554	47445.2223	43436.0107	34103.2338	40278.5192	40121.9599	52125.8672	58913.0009	45922.178	56686.878	46107.968	42224.587	42665.4007	41703.7383	34283.5337	43199.3374	42195.9357	47983.5369	38744.1323	46017.0618	44755.4357	42467.6837	49118.2039	42594.4626	40817.4846	41507.1956	37487.9921	46660.1095	43247.115	40617.6086	37881.0125	40155.4513	45516.5068
AST-PWY	L-arginine degradation II (AST pathway)	2.0	3.47	4.8793	4.1034	0.0	22.732	16.5137	14.67	8.33	6.9	0.67	2.0	4.67	5.33	10.4065	0.33	9.76	102.4837	154.4092	3779.9970000000003	283.4407	5795.71	3.33	2.0	5.33	6.0	16.86	10.33	5.67	4.4083	1.0	2.33	8.7534	12.2775	0.7404	0.0	0.3363	0.67	1.33	5.5	0.47	7.17	0.33	1.0	1.0
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	1318.4308	1912.2244	1600.6188	4518.9672	470.4721	2955.5508	1409.4211	2379.1921	4760.2833	4452.0646	1228.0781	3643.6782	1715.9202	989.2009	1167.2925	5063.4464	5718.9519	8799.6849	3593.1317	26028.189	4480.4739	26203.1947	2138.6763	3597.7704	3191.7328	1894.3979	6289.606	5813.2539	1351.1122	1462.7226	4254.5891	1224.2327	8136.3224	8508.0881	6369.732	7316.7747	9742.4352	2082.9238	3350.1998	3698.8855	3476.6701	2322.5087	4623.7324	4192.5047	4125.8297
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	50292.3676	53716.3646	63848.9167	54109.4049	65510.0153	57568.0387	61372.7023	56485.4935	35926.5151	48017.4219	52639.087	44820.7347	59663.5195	64570.9211	59380.4807	45314.2507	47651.880999999994	49263.7401	67077.0784	51300.8125	57929.030999999995	49821.7238	57799.2354	52208.369000000006	53750.6771	52743.0607	40861.4824	49511.3911	56996.8618	62888.1311	44622.5507	61981.6405	52384.6543	52638.8373	62091.7993	54588.3987	51192.0266	46016.2083	44751.9213	60103.7092	51438.8684	55997.1401	49640.1269	45343.6399	58577.6208
CALVIN-PWY	Calvin-Benson-Bassham cycle	52699.6656	57163.2833	68390.807	59229.7123	71703.7158	63021.5446	69420.9723	59643.2428	38635.7128	52124.6134	54961.2775	50907.0989	66392.3545	74419.495	64430.1466	48814.9326	52318.7695	56431.6342	72774.8772	57850.4181	65351.8277	54572.9319	63344.6441	57556.9107	59129.7113	55993.1368	43748.9094	56020.7811	63233.89599999999	70463.7166	51079.7611	69682.6119	57713.9197	57206.5144	67353.3948	56815.4871	54802.4614	51253.6006	48645.0014	68907.4335	58509.13	61048.8723	56510.6429	51135.6328	69402.6614
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	0.0	0.0	0.0	0.0	0.0	8.9398	11.3793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.5914	26.9254	33.7163	15.2558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	1.2857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	pyruvate fermentation to butanoate	1389.6213	4343.2836	3916.1903	5758.7145	3050.3026	6359.7086	4366.5902	2226.1153	507.3812	2320.452	1326.2779999999998	2591.3978	2026.0937	1539.6725	3604.3745	897.6358	1040.2961	3815.7698	3424.2497	14461.9304	3797.8489	7899.9062	1334.6592	2060.3141	3643.8484	1384.7056	4496.27	2684.6709	905.6161	1845.4155	2942.2256	1356.1093	1576.1132	1597.9139	1448.4429	1127.7862	2271.2036	1708.4661	2005.8136	2256.0818	2030.5064	2508.904	1777.4219	1849.8924	3095.5784
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	6.6233	4.6433	0.0	0.0	2.3286	6.9804	0.0	4.6348	0.0	2.3244	6.6496	0.0	0.0	2.3201	4.6544	2.2649	2.3231	2.3304	2.3238	0.0	2.3274	4.5223	0.0	2.2705	2.3236	2.2609	0.0	0.0	2.2966	0.0	2.318	0.0	0.0	2.3283	0.0	0.0	0.0	2.3182	2.3217	0.0	0.0	0.0	0.0	2.3301	4.6449
