Pathway	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
 aspartate and glutamate metabolism [PATH:ko00250]	908264.1300000004	991674.9200000004	1176379.1800000002	1033098.7300000003	1195005.3000000003	1066780.49	1123620.8599999999	1067466.7700000003	689741.7300000002	909455.6900000003	1009319.7	885955.2600000002	1094020.8699999996	1177217.77	1068147.7400000002	827331.0200000004	930033.94	943170.2700000003	1269664.81	1398507.4000000001	1093501.8899999994	1328706.6500000004	1103104.0200000003	989237.67	997815.39	989291.2700000004	792519.2700000001	1000028.1900000003	1072900.4700000004	1165998.1499999992	898781.79	1140574.1999999997	989628.0900000003	993697.0600000003	1131346.2100000002	995701.6200000001	974881.7600000004	915662.85	875770.0000000001	1134295.95	990040.97	1009601.2500000001	930182.9299999998	899097.6000000002	1088774.4700000002
 diarylheptanoid and gingerol biosynthesis [PATH:ko00945]	0.0	1.0	0.0	0.0	0.0	2.0	3.0	3.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	1.0	1.0
 kanamycin and gentamicin biosynthesis [PATH:ko00524]	52512.60000000001	67789.42000000001	72248.88	63328.43000000001	70811.49000000003	68432.48000000001	72049.73	61759.18000000001	41319.05	53642.75000000001	52550.13	56127.09000000001	74825.26	69891.11000000003	71255.57000000004	55537.89000000001	53104.07	59905.06000000001	77679.98	140321.96000000002	64464.05999999999	140415.74000000005	58235.57	53785.7	62500.83000000001	62696.57000000003	50211.54000000001	56033.51999999999	59883.05999999999	68195.37999999998	51882.2	73016.67	60207.52000000001	67048.46000000004	67384.37000000001	69595.48	61986.56000000001	58621.88	52307.17000000001	72477.53	59179.41	62727.90999999999	56184.59	56560.88000000003	68119.33
 leucine and isoleucine biosynthesis [PATH:ko00290]	480276.23000000016	504824.8100000002	622093.99	518481.4200000003	641819.0100000002	554735.13	604269.5800000001	551776.3600000001	338561.68	459740.7500000001	518221.63	420388.8700000001	573817.1699999999	632249.0800000003	566459.1800000002	423198.7700000002	459342.82	461547.5	660386.2500000001	487144.25000000006	561434.69	481944.32000000007	572102.02	507954.43999999994	510163.31000000006	507373.7600000001	380078.8500000001	473744.0000000001	568142.2999999999	620302.7099999996	430466.3800000002	601640.04	483080.4700000002	492220.95000000024	584144.6900000001	514263.1800000001	480422.72000000015	431881.82	421485.6300000002	587433.7300000001	490940.81999999995	523783.56000000006	464926.63	412784.41000000015	555922.3300000002
 leucine and isoleucine degradation [PATH:ko00280]	175859.84000000003	204668.42000000004	213891.55000000005	205520.77000000002	215107.85000000003	210031.22999999995	216186.02999999997	184760.31000000003	134377.39	166237.05000000002	173429.30000000002	168709.11000000004	207806.81	216640.57000000007	209275.19999999998	160963.09000000003	162520.01	192496.99000000002	216449.9	355912.8999999999	204000.74999999994	327151.55999999994	180461.98	171054.55	197263.30000000002	173391.22000000006	165728.49000000005	181817.92	171525.4	208977.67	159718.26000000004	201904.63999999998	170350.47000000003	168714.62	186898.85000000003	178476.24000000005	167338.81	170500.87000000002	156916.45000000004	198306.5	178242.69999999998	191197.59	172054.65000000002	172594.66000000003	210403.34000000003
 piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]	83526.24000000002	90049.52000000002	103746.99000000003	97087.80000000003	104246.27000000003	97466.21999999997	100384.9	95619.99000000002	65502.64000000002	82729.07	92217.84999999999	84322.61000000002	96414.61	105067.33000000003	95239.92000000003	76781.50000000001	84302.13999999998	83912.37000000001	111326.83	174625.58000000002	95338.39999999998	159875.36000000004	98075.59000000003	90007.45	92541.14000000001	88028.19000000002	75774.53000000001	91912.98000000001	94029.98999999999	101803.48999999995	78850.50000000003	100497.08	92227.80000000002	91376.07000000002	102024.91000000005	89684.26000000001	90700.90000000002	78504.96000000002	81580.27000000003	99614.70000000001	86792.01000000001	92830.0	84688.91	78357.91000000002	98542.06000000003
 secretion and action [PATH:ko04928]	0.0	0.0	23.0	13.5	10.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.5	16.0	20.5	18.0	15.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 serine and threonine metabolism [PATH:ko00260]	819119.3800000004	965030.2100000003	1088786.17	940205.7100000002	1097466.03	997963.9200000003	1042826.0700000009	948869.3100000004	622476.8300000001	816405.4000000001	842842.2099999998	818934.6699999996	1079949.6799999997	1078098.8	1041454.2600000002	816457.2600000002	823442.9700000004	900317.9599999998	1161855.7999999998	1179198.1900000006	1020976.84	1141545.67	945373.6100000003	868754.1499999999	935931.1699999997	924223.7000000002	734887.2500000001	883299.17	943618.3900000005	1060286.0399999993	790842.7700000001	1090523.7	896802.8400000005	951284.4400000004	1042732.29	976680.3200000001	887489.8600000006	862199.1500000001	786737.0900000001	1067170.6400000001	904514.4900000002	964478.7600000001	879689.0200000004	832910.7400000002	1022893.3
 tyrosine and tryptophan biosynthesis [PATH:ko00400]	798497.0800000002	834163.9900000002	1022334.9900000003	867116.8200000002	1059357.5700000005	919742.6800000002	992215.2300000004	912008.4400000005	582044.4600000001	763048.0100000004	862165.2700000001	730114.93	949677.4700000001	1038538.85	927910.0300000001	721694.9700000002	783480.47	755137.0400000004	1102656.28	880543.3000000003	910271.7599999998	833637.54	954693.1700000005	848764.94	847294.91	838326.2000000004	648643.4	808884.6199999998	946672.9100000003	1021047.9099999997	734413.8300000001	993760.71	862200.5100000008	848757.3300000003	999244.93	871873.3400000001	812768.9900000002	722346.4900000001	730469.7100000003	973188.16	822506.8300000001	871590.3200000002	763409.2699999999	718390.0400000004	934184.8800000002
ABC transporters [PATH:ko02010]	3073272.14	3869644.9400000093	4311054.580000008	3250062.7800000063	4606071.350000005	3924181.1200000076	4336335.739999999	3896987.1699999967	1862176.6300000027	2889570.4999999967	3325269.069999998	3006947.8100000005	4868827.769999996	4586969.090000006	4501057.490000011	2832801.210000004	2966442.449999993	3091120.770000001	5101837.420000008	2272457.289999998	3894335.3000000077	2259446.3599999985	3719632.9500000104	3234057.080000003	3461877.3700000076	3935205.619999999	2069844.700000006	2896156.6800000053	3868842.0799999926	4467773.470000004	2689424.5600000015	4509522.200000007	2825702.3200000036	3599746.209999995	3470033.270000006	3824139.7899999972	2817229.380000003	2950362.1999999993	2660824.6900000027	4349575.270000002	3251546.1000000006	3677592.9899999965	3113511.360000004	2749052.650000005	4020224.9400000004
