function	description	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	4922.63	4377.91	4741.01	5362.45	3570.45	4088.94	3144.75	5868.7	7089.97	6629.45	7352.4	5077.54	5085.84	4618.04	5662.7	7153.11	5273.24	8851.38	6023.27	27372.550000000007	7603.72	24214.37	4988.58	5343.37	5103.92	6157.37	5980.16	6793.0	3855.12	3373.05	8228.21	7249.53	4419.02	5223.7	4674.57	5062.77	6354.22	10485.46	8474.54	5463.89	6553.09	10281.01	11418.76	12666.5	7889.96
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.57	4.0	0.14	1.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.14	0.14	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	38044.890000000014	40134.28000000001	47403.76000000001	37903.470000000016	49902.72000000002	41767.44	46303.09	42615.06000000001	24848.00000000001	33612.570000000014	39757.59	30955.260000000013	44059.33	48734.94000000001	43571.76000000002	32428.330000000016	35508.64	34454.060000000005	50330.14	14327.64	44630.27999999999	7269.579999999999	43942.48	39220.91	39536.01	38826.34000000001	26761.01	35742.06	43553.58	47224.83999999998	32786.990000000005	46841.11	37789.610000000015	36201.99000000001	45687.81000000001	37534.88000000001	36168.66	34995.76	31015.390000000007	46112.4	39678.44	41925.65	37526.31	34549.93000000002	43947.150000000016
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	51.0	96.0	117.0	31.0	54.0	30.0	54.0	83.0	33.0	34.0	23.0	29.0	46.0	18.0	36.0	30.0	44.0	86.0	34.0	666.0	92.0	395.0	32.0	39.0	53.0	67.0	22.0	48.0	17.0	16.0	64.0	45.0	71.0	68.0	53.0	53.0	124.0	76.0	59.0	70.0	100.0	74.0	44.0	105.0	58.0
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	10689.31	14359.59	16151.37	10934.13	17701.22	13913.59	16798.29	9154.23	5687.99	10600.89	5123.9	10647.38	19969.669999999995	16548.489999999998	16203.96	12474.21	11573.57	11858.11	17699.700000000004	6623.84	15115.48	7592.79	10015.63	10651.5	13825.76	13142.21	12283.45	9274.43	14292.0	15405.5	7483.9	23684.19	12116.7	15204.78	19752.230000000003	18338.320000000007	11145.87	10966.38	9122.29	18062.4	13357.24	20115.65	19149.41999999999	10621.05	17191.870000000006
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	0.0	0.14	0.0	0.0	0.0	7.29	9.29	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	1.43	24.71	22.14	50.43	16.29	0.71	0.0	0.0	0.0	0.0	0.86	1.0	0.0	1.5699999999999998	0.0	0.0	0.14	1.0	0.0	0.0	0.14	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	34386.890000000014	38281.59000000001	49458.26000000001	38895.640000000014	51644.31000000001	44733.33	54324.09	43632.070000000014	22669.42	36762.48	36246.43	32210.840000000015	46231.99	53365.7	45382.01000000001	34030.580000000016	33274.17	38562.66	50214.06000000001	42924.390000000014	49106.53999999999	24249.89000000001	45595.65	39908.08	43180.01	38697.09000000001	27133.64000000001	34979.36	45949.49	52093.10999999998	28251.82000000001	53522.7	29195.97000000001	32757.07000000001	42070.970000000016	33439.00000000001	31795.62000000001	31394.14	24976.47000000001	47751.07	38769.99	39978.15	42583.389999999985	24506.86000000001	43771.62
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	236.0	248.14	637.0	412.0	196.0	196.29	138.29000000000002	148.0	59.0	261.57	117.0	267.0	494.0	48.0	450.5	131.0	318.43	2275.21	598.14	4654.93	2315.79	1477.71	62.0	146.0	136.0	122.0	371.86	953.0	212.0	150.57	293.0	193.0	409.14	295.5	651.0	243.0	397.14	545.0	317.0	378.5	366.14	144.5	333.0	525.0	222.0
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	447.17	1166.5700000000004	904.95	2010.5	470.24	1103.79	742.38	1167.33	498.33	757.99	604.71	693.3	506.5	389.22	502.28	546.45	1137.35	1131.21	897.3000000000002	26777.6	936.9	18021.87	641.1700000000002	711.5000000000001	757.7500000000001	815.62	745.86	1384.7900000000004	274.01	349.16	668.1699999999997	863.52	1539.97	1660.4299999999996	1737.83	1609.2600000000002	2788.85	539.3299999999998	512.24	810.6600000000002	737.8	796.3299999999998	661.2900000000002	777.62	1127.89
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	32519.94	34202.28000000001	43696.539999999986	39480.46	42503.77	38868.4	41451.140000000014	37970.62000000002	26006.230000000003	33288.840000000004	36384.67	33747.210000000014	40822.77	42443.820000000014	37624.460000000014	33169.37000000002	35404.930000000015	38137.34000000001	49298.50000000001	91769.74	40793.779999999984	94194.0	39786.31000000001	35875.3	35462.750000000015	35224.890000000014	30350.85	39343.390000000014	39833.959999999985	41840.28999999999	31354.55000000001	44113.39000000001	39162.680000000015	37052.72	38822.22	34145.34000000001	35708.64000000001	28433.230000000003	31325.180000000004	42122.82	34121.98999999998	38130.67000000001	35496.709999999985	33357.75000000001	40726.99000000001
