groupID	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
methanol_oxidation	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	1	0	1
methylotrophy	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	1	0	1
sulfate_respiration	135	142	195	165	255	169	199	216	56	167	300	85	150	309	279	119	82	108	230	26	60	22	184	206	147	230	81	101	172	131	54	964	47	59	81	117	276	43	68	68	27	1824	1540	962	952
sulfur_respiration	12	13	10	9	4	4	2	7	7	11	13	14	3	7	7	10	1	5	3	4	4	16	2	11	8	5	9	16	3	2	51	24	1111	167	532	436	31	31	30	7	30	468	116	969	357
respiration_of_sulfur_compounds	147	155	205	174	259	173	201	223	63	178	313	99	153	316	286	129	83	113	233	30	64	38	186	217	155	235	90	117	175	133	105	988	1158	226	613	553	307	74	98	75	57	2292	1656	1931	1309
knallgas_bacteria	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	6	2	0	1	0	0	0	0	1	2	0
dark_hydrogen_oxidation	0	0	0	0	0	0	2	1	0	2	2	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	18	2	0	1	0	0	2	0	1	2	0
nitrogen_fixation	9	5	6	11	5	5	1	5	11	10	6	11	5	3	3	11	8	6	4	9	3	11	2	14	11	4	11	8	9	7	17	7	3	10	10	7	8	15	18	5	13	7	12	10	5
cellulolysis	2	0	1	2	1	4	0	1	0	2	1	1	2	4	2	0	1	1	3	2	1	2	2	1	1	1	2	2	0	1	2	2	1	2	1	0	0	1	2	2	2	2	4	0	1
dark_sulfur_oxidation	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	6	2	0	1	0	0	0	0	1	2	0
dark_oxidation_of_sulfur_compounds	0	2	0	0	0	0	2	0	0	8	9	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	12	8	0	7	0	0	0	0	2	8	0
fermentation	1019	1531	929	1666	413	1206	799	874	1841	880	902	1275	809	636	719	2213	1209	1026	678	6933	639	5859	779	992	938	799	1647	1469	576	559	1343	639	2019	991	1379	951	1043	1811	1143	834	1326	1118	928	2629	1190
aerobic_chemoheterotrophy	160	8	34	29	22	17	7	190	1276	121	374	17	6	5	14	1578	11	21	14	46	6	7	14	9	10	10	21	17	23	9	465	116	49	103	52	27	112	371	488	239	246	62	43	187	222
human_gut	2	3	1	9	0	1	3	5	3	5	2	0	0	1	2	1	5	12	1	55	10	2	1	3	2	3	6	3	2	3	1	6	0	7	2	47	3	1	2	2	3	15	2	2	2
human_associated	2	3	1	9	0	1	3	5	3	5	2	0	0	1	2	1	5	12	1	55	10	2	1	3	2	3	6	3	2	3	1	6	0	7	2	47	3	1	2	2	3	15	2	2	2
mammal_gut	2	3	1	9	0	1	3	5	3	5	2	0	0	1	2	1	5	12	1	55	10	2	1	3	2	3	6	3	2	3	1	6	0	7	2	47	3	1	2	2	3	15	2	2	2
animal_parasites_or_symbionts	357	124	156	135	139	174	283	87	172	194	59	223	185	199	166	235	183	281	145	66	237	17	304	285	176	105	179	206	187	155	100	34	475	344	297	260	407	50	68	83	76	66	130	93	137
aromatic_compound_degradation	0	7	3	2	9	3	1	0	0	10	2	16	9	11	8	1	5	3	1	0	10	1	3	14	3	8	0	1	1	9	0	1	2	1	0	1	2	1	1	2	3	1	0	0	0
nitrate_reduction	2	3	3	1	0	2	1	1	2	5	1	0	2	1	2	1	6	15	3	65	14	7	2	0	5	1	5	7	1	7	18	7	3	13	3	1	24	9	59	11	20	18	13	3	9
ureolysis	0	0	0	0	1	0	1	0	0	2	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	7	2	0	1	1	0	0	0	2	2	0
reductive_acetogenesis	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	0	2	0	0	0	0
chemoheterotrophy	1019	1538	938	1679	434	1213	801	874	1842	891	903	1293	819	647	729	2217	1213	1029	682	6942	650	5862	782	1007	940	806	1649	1469	578	568	1343	639	2029	997	1396	960	1056	1813	1147	837	1328	1121	929	2631	1193
