variable	group	value
methanol_oxidation	H60	0
methanol_oxidation	H61	0
methanol_oxidation	H62	0
methanol_oxidation	H63	0
methanol_oxidation	H64	0
methanol_oxidation	H66	3
methanol_oxidation	H67	0
methanol_oxidation	H68	0
methanol_oxidation	H79	0
methanol_oxidation	H94	1
methanol_oxidation	H95	0
methanol_oxidation	H96	0
methanol_oxidation	L36	0
methanol_oxidation	L37	5
methanol_oxidation	L38	0
methanol_oxidation	L39	0
methanol_oxidation	L70	0
methanol_oxidation	L73	3
methanol_oxidation	L76	0
methanol_oxidation	L77	0
methanol_oxidation	L91	0
methanol_oxidation	L92	7
methanol_oxidation	L93	0
methanol_oxidation	M30	0
methanol_oxidation	M31	2
methanol_oxidation	M32	0
methanol_oxidation	M33	0
methanol_oxidation	M34	0
methanol_oxidation	M35	0
methanol_oxidation	M54	2
methanol_oxidation	M55	0
methanol_oxidation	M56	0
methanol_oxidation	M57	0
methanol_oxidation	M58	0
methanol_oxidation	M59	0
methanol_oxidation	N12	0
methanol_oxidation	N13	0
methanol_oxidation	N15	5
methanol_oxidation	N16	0
methanol_oxidation	N17	0
methanol_oxidation	N51	0
methanol_oxidation	N52	1
methanol_oxidation	N53	0
methanol_oxidation	N86	0
methanol_oxidation	N87	0
methanol_oxidation	N88	7
methanol_oxidation	N90	0
methylotrophy	H60	0
methylotrophy	H61	0
methylotrophy	H62	0
methylotrophy	H63	0
methylotrophy	H64	0
methylotrophy	H66	3
methylotrophy	H67	0
methylotrophy	H68	0
methylotrophy	H79	0
methylotrophy	H94	1
methylotrophy	H95	0
methylotrophy	H96	0
methylotrophy	L36	0
methylotrophy	L37	5
methylotrophy	L38	0
methylotrophy	L39	0
methylotrophy	L70	0
methylotrophy	L73	3
methylotrophy	L76	0
methylotrophy	L77	0
methylotrophy	L91	0
methylotrophy	L92	7
methylotrophy	L93	0
methylotrophy	M30	0
methylotrophy	M31	2
methylotrophy	M32	0
methylotrophy	M33	0
methylotrophy	M34	0
methylotrophy	M35	0
methylotrophy	M54	2
methylotrophy	M55	0
methylotrophy	M56	0
methylotrophy	M57	0
methylotrophy	M58	0
methylotrophy	M59	0
methylotrophy	N12	0
methylotrophy	N13	0
methylotrophy	N15	5
methylotrophy	N16	0
methylotrophy	N17	0
methylotrophy	N51	0
methylotrophy	N52	1
methylotrophy	N53	0
methylotrophy	N86	0
methylotrophy	N87	0
methylotrophy	N88	7
methylotrophy	N90	0
sulfate_respiration	H60	11
sulfate_respiration	H61	12
sulfate_respiration	H62	16
sulfate_respiration	H63	18
sulfate_respiration	H64	16
sulfate_respiration	H66	23
sulfate_respiration	H67	5
sulfate_respiration	H68	13
sulfate_respiration	H79	9
sulfate_respiration	H94	4
