variable	ANC	BMD	CLMAT	DHMAT
aerobic_chemoheterotrophy	8.232219734241944	8.282923561260624	7.607841174269392	6.588872464609344
aliphatic_non_methane_hydrocarbon_degradation	1.2826931185648967	0.08333333333333333	0	0
anammox	0.29874687506009634	0.215413541726763	0.6140806820148608	0.3333333333333333
animal_parasites_or_symbionts	7.367972193096452	6.400174886603171	6.8086346458599305	6.250958236023722
aromatic_compound_degradation	4.119902070227475	4.415210268457447	4.349992618146656	4.00912015516547
aromatic_hydrocarbon_degradation	1.2826931185648967	0.08333333333333333	0	0
chemoheterotrophy	10.697477734689238	10.420276321462204	10.709749934234907	10.336272235153796
dark_hydrogen_oxidation	0.861654166907052	0.08333333333333333	0	0.3474937501201927
fermentation	10.661930241777295	10.36734628538403	10.676857548483916	10.294773998249473
human_associated	3.3703765429207895	3.2057317296964967	4.1005707059115	3.0553614160601748
human_gut	3.279858684999699	3.1560892350669	4.0803532130627325	2.9665053144419105
human_pathogens_all	0.465413541726763	0.3333333333333333	0.3019934631715784	0.430827083453526
hydrocarbon_degradation	1.2826931185648967	0.08333333333333333	0	0
iron_respiration	2.1480752543100246	1.9939964429809829	2.158691101265621	2.1160521318979364
mammal_gut	3.279858684999699	3.1560892350669	4.0803532130627325	2.9665053144419105
methanol_oxidation	0.5487468750600963	0.26416041678685936	0.6895420455201051	0.25
methylotrophy	0.5487468750600963	0.26416041678685936	0.6895420455201051	0.25
nitrate_reduction	4.892120618906806	6.610090478552681	6.668522528364025	6.075086043738078
nitrate_respiration	2.138794186052758	5.857210261428875	4.874238437686458	5.418264934291168
nitrite_respiration	0.29874687506009634	0.215413541726763	0.6140806820148608	0.3333333333333333
nitrogen_fixation	0.430827083453526	0.430827083453526	0.7958988638330425	0.7076544246941395
nitrogen_respiration	2.179246421650278	5.864866538754093	4.90620251612507	5.431310335780495
predatory_or_exoparasitic	2.1953001781454775	0.29874687506009634	0.23499659097465056	0.6647733269583264
reductive_acetogenesis	0.861654166907052	0.08333333333333333	0	0.3474937501201927
respiration_of_sulfur_compounds	9.399033843930226	4.310395023232564	4.143067368249319	4.295349163772806
sulfate_respiration	6.422256506781954	3.2276455394643104	3.1335255233052695	3.726809079238326
sulfur_respiration	8.127579838172187	2.0773803865389073	1.2042491453175583	1.2403475432590363
thiosulfate_respiration	2.1480752543100246	1.9939964429809829	2.158691101265621	2.1160521318979364
ureolysis	0	0	2.1229504676636095	0.3474937501201927
