unifrac	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
H60	0	0.527	0.667	0.237	0.392	0.572	0.378	0.332	0.341	0.251	0.638	0.579	0.592	0.468	0.584	0.534	0.534	0.638	0.245	0.603	0.396	0.402	0.572	0.417	0.477	0.555	0.620	0.712	0.588	0.130	0.125	0.258	0.355	0.242	0.533	0.656	0.794	0.702	0.723	0.541	0.281	0.667	0.712	0.386	0.245	0.289	0.624
H61	0.527	0	0.438	0.500	0.376	0.552	0.369	0.386	0.279	0.380	0.334	0.343	0.371	0.484	0.450	0.492	0.502	0.418	0.562	0.526	0.450	0.465	0.447	0.364	0.323	0.348	0.525	0.505	0.357	0.511	0.506	0.541	0.442	0.445	0.307	0.688	0.707	0.549	0.617	0.588	0.569	0.572	0.548	0.537	0.557	0.603	0.595
H62	0.667	0.438	0	0.586	0.550	0.515	0.566	0.535	0.539	0.596	0.590	0.283	0.418	0.498	0.340	0.517	0.297	0.519	0.549	0.471	0.360	0.557	0.464	0.358	0.485	0.456	0.173	0.265	0.453	0.660	0.622	0.692	0.585	0.590	0.445	0.439	0.485	0.470	0.654	0.642	0.651	0.633	0.515	0.580	0.645	0.615	0.451
H63	0.237	0.500	0.586	0	0.401	0.482	0.347	0.297	0.359	0.284	0.552	0.458	0.532	0.402	0.524	0.478	0.501	0.587	0.325	0.512	0.354	0.394	0.505	0.331	0.507	0.531	0.597	0.680	0.517	0.227	0.189	0.315	0.405	0.277	0.541	0.673	0.783	0.634	0.697	0.488	0.287	0.612	0.658	0.366	0.307	0.370	0.584
H64	0.392	0.376	0.550	0.401	0	0.467	0.334	0.277	0.260	0.334	0.450	0.455	0.327	0.354	0.453	0.422	0.478	0.471	0.458	0.483	0.373	0.350	0.427	0.356	0.407	0.501	0.576	0.624	0.436	0.399	0.357	0.436	0.418	0.323	0.433	0.663	0.787	0.666	0.695	0.538	0.500	0.644	0.687	0.565	0.492	0.551	0.609
H66	0.572	0.552	0.515	0.482	0.467	0	0.439	0.409	0.511	0.518	0.518	0.503	0.442	0.410	0.342	0.362	0.510	0.482	0.451	0.356	0.498	0.403	0.407	0.425	0.584	0.620	0.558	0.633	0.503	0.565	0.515	0.577	0.606	0.474	0.580	0.669	0.749	0.628	0.578	0.609	0.612	0.659	0.629	0.645	0.635	0.611	0.630
H67	0.378	0.369	0.566	0.347	0.334	0.439	0	0.193	0.327	0.347	0.366	0.382	0.486	0.334	0.454	0.402	0.444	0.556	0.433	0.461	0.407	0.399	0.394	0.338	0.332	0.410	0.534	0.628	0.432	0.345	0.347	0.307	0.353	0.275	0.428	0.656	0.768	0.600	0.689	0.497	0.454	0.587	0.652	0.515	0.451	0.508	0.555
H68	0.332	0.386	0.535	0.297	0.277	0.409	0.193	0	0.307	0.336	0.415	0.364	0.476	0.275	0.411	0.363	0.431	0.538	0.369	0.461	0.320	0.402	0.424	0.292	0.388	0.482	0.530	0.606	0.427	0.343	0.290	0.348	0.357	0.289	0.449	0.650	0.764	0.557	0.629	0.436	0.397	0.563	0.617	0.466	0.406	0.457	0.533
H79	0.341	0.279	0.539	0.359	0.260	0.511	0.327	0.307	0	0.233	0.418	0.442	0.406	0.408	0.476	0.437	0.477	0.448	0.418	0.472	0.389	0.301	0.440	0.311	0.366	0.436	0.517	0.593	0.408	0.324	0.349	0.359	0.323	0.281	0.403	0.657	0.771	0.621	0.665	0.514	0.462	0.615	0.626	0.512	0.450	0.513	0.602
H94	0.251	0.380	0.596	0.284	0.334	0.518	0.347	0.336	0.233	0	0.565	0.511	0.521	0.455	0.512	0.477	0.518	0.587	0.314	0.531	0.348	0.361	0.505	0.348	0.355	0.488	0.576	0.659	0.538	0.216	0.236	0.229	0.267	0.160	0.370	0.670	0.785	0.650	0.681	0.529	0.358	0.643	0.657	0.421	0.354	0.424	0.630
