euclidean	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
H60	0	6.32	6.78	5.57	6.48	6.63	6.24	6.71	5.39	5.57	7.14	6.78	7.35	7.28	6.48	6.24	6.63	7.35	6.56	7.35	6.71	6.71	7.07	6.48	6.63	7.14	6.08	5.57	7.28	4.90	5.10	6.00	5.48	5.83	5.92	7.00	7.21	7.81	7.55	7.42	7.81	8.37	8.00	7.75	8.31	7.55	7.75
H61	6.32	0	5.83	7.00	6.48	6.93	6.56	7.28	5.57	4.80	5.92	6.00	6.48	7.00	5.83	6.71	6.48	6.93	7.00	7.07	6.56	7.00	6.93	5.66	5.48	6.24	5.57	5.74	7.28	6.63	6.48	7.48	6.16	6.48	5.00	7.00	7.07	7.68	7.42	7.55	8.43	8.37	7.87	7.75	8.43	7.81	7.62
H62	6.78	5.83	0	6.40	5.66	5.83	6.71	7.00	5.92	6.24	6.40	5.83	5.10	6.08	4.90	6.86	4.90	6.16	6.24	6.32	4.80	6.24	6.48	6.00	6.48	6.40	4.80	5.74	6.08	6.32	6.48	7.07	6.63	6.16	5.39	5.92	5.66	6.40	6.40	6.71	7.55	7.48	6.93	6.93	7.81	7.00	6.63
H63	5.57	7.00	6.40	0	7.28	6.86	6.93	7.35	6.48	6.32	7.48	6.86	7.68	7.35	7.14	7.21	7.14	7.55	7.07	7.00	7.07	7.35	7.00	7.28	7.68	7.62	6.48	6.78	7.48	6.08	6.40	7.28	6.71	7.00	6.63	7.35	7.42	8.00	7.87	7.48	7.87	8.43	8.06	8.06	8.49	8.00	8.06
H64	6.48	6.48	5.66	7.28	0	6.48	6.40	7.00	6.40	6.08	7.00	7.21	4.69	6.71	5.66	7.14	5.66	7.07	7.00	7.75	5.92	6.86	7.21	6.32	6.78	6.86	6.08	6.40	7.42	6.48	6.16	7.48	6.63	6.00	5.92	7.42	7.35	7.68	7.55	7.68	8.31	8.37	8.00	8.00	8.43	7.81	8.00
H66	6.63	6.93	5.83	6.86	6.48	0	6.56	6.24	6.08	6.86	6.40	7.07	6.48	7.14	5.83	6.56	6.78	6.16	6.40	5.83	6.24	6.08	6.63	6.63	7.48	7.42	5.74	6.08	6.24	6.63	6.93	7.35	7.21	6.48	6.71	6.24	6.63	7.00	7.00	7.00	7.81	8.12	7.21	7.07	7.94	7.00	7.21
H67	6.24	6.56	6.71	6.93	6.40	6.56	0	5.83	6.32	6.63	5.83	5.57	7.14	6.78	6.08	6.32	6.24	7.00	6.93	7.42	6.63	6.48	6.08	6.08	6.71	6.93	5.66	6.00	6.93	6.08	6.08	6.08	6.40	5.57	6.63	7.75	7.68	8.00	8.00	7.87	8.12	8.31	8.43	8.31	8.60	8.12	8.31
H68	6.71	7.28	7.00	7.35	7.00	6.24	5.83	0	7.07	7.35	6.63	6.86	7.68	6.93	6.56	6.63	6.71	7.55	7.07	7.42	6.48	7.07	7.14	7.28	7.42	7.87	6.48	6.63	7.21	7.28	7.00	7.68	7.42	7.00	7.48	7.62	7.81	8.00	7.87	8.00	8.49	8.31	8.31	8.06	8.25	7.62	8.31
H79	5.39	5.57	5.92	6.48	6.40	6.08	6.32	7.07	0	5.10	6.63	6.24	6.86	6.93	5.20	6.00	5.92	6.56	6.16	6.86	6.16	6.32	6.71	5.92	6.24	7.07	5.10	5.48	6.78	5.74	6.24	6.08	5.74	5.39	5.83	6.63	6.86	7.21	7.07	7.07	7.87	8.19	7.42	7.28	8.25	7.48	7.42
H94	5.57	4.80	6.24	6.32	6.08	6.86	6.63	7.35	5.10	0	6.93	6.40	6.71	7.07	5.92	6.63	6.56	7.14	6.78	7.14	6.63	6.78	6.86	6.08	5.92	6.93	5.66	6.00	7.35	5.74	6.08	7.00	5.92	5.92	5.29	7.21	7.42	7.75	7.62	7.48	8.25	8.43	7.94	7.81	8.49	7.75	7.94
