bray_curtis_binary	H60	M54	M55	M57	M58	M30	H67	H68	M56	M59	H61	H94	H95	H96	H79	M33	H63	M31	L38	L70	L91	M34	L73	L92	L77	L93	L76	L39	H64	L36	H62	L37	M35	M32	H66	N12	N13	N88	N17	N51	N86	N90	N87	N15	N53	N16	N52
H60	0	0.333	0.342	0.417	0.447	0.553	0.481	0.529	0.474	0.522	0.556	0.425	0.662	0.639	0.433	0.627	0.413	0.595	0.677	0.647	0.692	0.508	0.730	0.616	0.711	0.641	0.589	0.534	0.568	0.750	0.793	0.726	0.726	0.646	0.667	0.891	0.929	0.781	0.797	0.792	0.882	0.909	0.873	0.884	0.889	0.905	0.854
M54	0.333	0	0.297	0.343	0.378	0.459	0.468	0.639	0.405	0.446	0.629	0.465	0.707	0.657	0.508	0.544	0.507	0.528	0.600	0.667	0.714	0.593	0.694	0.577	0.811	0.605	0.690	0.577	0.583	0.714	0.714	0.718	0.775	0.740	0.688	0.962	1.000	0.859	0.851	0.813	0.939	0.969	0.896	0.910	0.914	0.934	0.900
M55	0.342	0.297	0	0.324	0.333	0.436	0.446	0.563	0.436	0.420	0.568	0.493	0.646	0.622	0.565	0.574	0.532	0.553	0.563	0.629	0.582	0.460	0.579	0.653	0.769	0.625	0.627	0.573	0.500	0.649	0.700	0.707	0.653	0.580	0.706	0.895	0.931	0.787	0.831	0.797	0.914	0.912	0.852	0.887	0.892	0.877	0.857
M57	0.417	0.343	0.324	0	0.459	0.405	0.519	0.663	0.459	0.385	0.543	0.493	0.600	0.571	0.508	0.614	0.616	0.444	0.633	0.667	0.683	0.525	0.694	0.746	0.838	0.632	0.746	0.634	0.611	0.714	0.786	0.746	0.746	0.636	0.813	0.925	0.963	0.831	0.851	0.813	0.909	0.938	0.896	0.970	0.943	0.967	0.875
M58	0.447	0.378	0.333	0.459	0	0.333	0.373	0.563	0.385	0.507	0.568	0.467	0.570	0.622	0.420	0.475	0.636	0.553	0.531	0.571	0.672	0.619	0.526	0.547	0.769	0.600	0.573	0.600	0.474	0.595	0.633	0.760	0.547	0.580	0.618	0.965	0.966	0.787	0.803	0.772	0.886	0.912	0.901	0.887	0.919	0.908	0.905
M30	0.553	0.459	0.436	0.405	0.333	0	0.446	0.609	0.538	0.507	0.432	0.493	0.544	0.568	0.507	0.410	0.688	0.474	0.500	0.600	0.642	0.460	0.526	0.573	0.692	0.550	0.653	0.653	0.526	0.595	0.600	0.680	0.520	0.481	0.647	0.895	0.897	0.760	0.803	0.848	0.857	0.882	0.926	0.859	0.838	0.908	0.833
H67	0.481	0.468	0.446	0.519	0.373	0.446	0	0.370	0.446	0.595	0.544	0.550	0.405	0.392	0.541	0.485	0.585	0.556	0.536	0.520	0.611	0.529	0.605	0.525	0.663	0.435	0.600	0.500	0.506	0.646	0.692	0.575	0.600	0.558	0.589	0.968	0.937	0.825	0.816	0.786	0.920	0.945	0.860	0.842	0.899	0.914	0.775
H68	0.529	0.639	0.563	0.663	0.563	0.609	0.370	0	0.678	0.718	0.639	0.643	0.500	0.566	0.641	0.600	0.628	0.647	0.589	0.570	0.553	0.611	0.671	0.595	0.632	0.573	0.595	0.524	0.576	0.711	0.710	0.571	0.619	0.689	0.506	0.879	0.910	0.690	0.800	0.818	0.823	0.896	0.756	0.800	0.831	0.838	0.742
M56	0.474	0.405	0.436	0.459	0.385	0.538	0.446	0.678	0	0.623	0.757	0.653	0.722	0.568	0.536	0.607	0.688	0.684	0.688	0.686	0.791	0.587	0.658	0.680	0.846	0.650	0.680	0.627	0.737	0.784	0.833	0.787	0.653	0.753	0.794	0.930	0.966	0.840	0.831	0.772	0.914	0.941	0.901	0.887	0.919	0.908	0.905
M59	0.522	0.446	0.420	0.385	0.507	0.507	0.595	0.718	0.623	0	0.385	0.424	0.600	0.569	0.567	0.654	0.647	0.463	0.491	0.574	0.621	0.556	0.701	0.697	0.797	0.634	0.727	0.727	0.522	0.569	0.569	0.758	0.788	0.583	0.763	0.958	0.918	0.879	0.839	0.914	0.934	0.932	0.944	0.903	0.877	0.929	0.840
