var	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	-1.44317436319223	0.278768687333799	1.72194305052603	-4.82182060861071	0.000489501769712452	11.3454951010868	-2.0994915328888	-0.786857193495655	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae	-0.287494998456129	0.144198040542554	0.431693038998683	-4.99548410101005	0.000175382872060746	14.535869329994	-0.410504026452254	-0.164485970460004	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	-0.978152098589773	0.846812299689635	1.82496439827941	-2.55126112497423	0.0208890368721785	16.648878313541	-1.78835570883508	-0.167948488344467	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae	-0.17975908956642	0.239119352304317	0.418878441870738	-2.90160020894669	0.00933157283981391	18.4786042403385	-0.309673580747713	-0.0498445983851283	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1	0.191761427817725	0.365570398749109	0.173808970931385	2.13373663207675	0.0477023650593426	17.0301712247321	0.00217539942032031	0.381347456215129	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_2	6.49758674900567	6.51564912672663	0.0180623777209598	3.15404682904729	0.00917562826107054	11.0001415854028	1.96338978614239	11.031783711869	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae	-1.05003158629288	0.466332225331213	1.51636381162409	-2.2784857815728	0.0363298448648819	16.4842361585295	-2.02465472270051	-0.0754084498852441	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	-6.81338831827634	3.82079013289042	10.6341784511668	-6.31047784649234	1.39298129931741e-05	15.0108693174016	-9.11455757406896	-4.51221906248372	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae	0.575915093228897	0.578949376832207	0.00303428360330999	4.04998280506973	0.00191519163531226	11.0011923443794	0.262935045378928	0.888895141078867	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	-5.09912088078841	1.1350403979421	6.23416127873051	-3.88717983533274	0.00234435424529919	11.4706068555282	-7.9719404370478	-2.22630132452902	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	3.00215007506147	3.56561164348386	0.563461568422385	2.26961347532747	0.0441811434729229	11.0769582705866	0.0932445971087603	5.91105555301419	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	-0.149688380431497	0.285346829639824	0.435035210071321	-2.71838692844667	0.0127088412861022	21.4953015563095	-0.264042170267535	-0.0353345905954594	Welch Two Sample t-test	two.sided
