feature	method	group1	group2	p_values	adj_method	p_adjust	pathway_name	pathway_description	pathway_class	pathway_map
ko00562	LinDA	MDA	MDC	0.0022174994119494	none	0.0022174994119494	Inositol phosphate metabolism	NA	Metabolism; Carbohydrate metabolism	Inositol phosphate metabolism
ko00311	LinDA	MDA	MDC	1.13788457389085e-05	none	1.13788457389085e-05	Penicillin and cephalosporin biosynthesis	Penicillins (Penams) and cephalosporins (cephems) are beta-lactam antibiotics containing 6-aminopenicillanate (6-APA) and 7-aminocephalosporanate (7-ACA) nuclei, respectively. 6-APA and 7-ACA are key intermediates for a variety of semisynthetic penicillin and cephalosporin derivatives. Penicillins are produced only by fungi, while cephalosporins (including cephamycins) are produced by fungi and bacteria. Both antibiotics are synthesized from L-2-aminoadipate, L-cysteine and L-valine through a common pathway. It starts with the condensation of these three amino acids by the non-ribosomal peptide synthetase to form the tripeptide delta-(L-2-aminoadipyl)-L-cysteinyl-D-valine (ACV). The linear ACV tripeptide is then converted to bicyclic isopenicillin N by isopenicillin N synthase, in which the beta-lactam ring is formed. Isopenicillin N is the branch point of penicillin [MD:M00672] and cephalosporin [MD:M00673] pathways.	Metabolism; Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
ko04260	LinDA	MDA	MDC	0.000188714828862861	none	0.000188714828862861	Cardiac muscle contraction	Contraction of the heart is a complex process initiated by the electrical excitation of cardiac myocytes (excitation-contraction coupling, ECC). In cardiac myocytes, Ca2+ influx induced by activation of voltage-dependent L-type Ca channels (DHP receptors) upon membrane depolarization triggers the release of Ca2+ via Ca2+ release channels (ryanodine receptors) of sarcoplasmic reticulum (SR) through a Ca2+ -induced Ca release (CICR) mechanism. Ca2+ ions released via the CICR mechanism diffuse through the cytosolic space to contractile proteins to bind to troponinC resulting in the release of inhibition induced by troponinI. The Ca2+ binding to troponinC thereby triggers the sliding of thin and thick filaments, that is, the activation of a crossbridge and subsequent cardiac force development and/or cell shortening. Recovery occurs as Ca2+ is pumped out of the cell by the Na+/Ca2+ exchanger (NCX) or is returned to the sarcoplasmic reticulum (SR) by sarco(endo)plasmic Ca2+ -ATPase (SERCA) pumps on the non-junctional region of the SR.	Organismal Systems; Circulatory system	Cardiac muscle contraction
ko05142	LinDA	MDA	MDC	0.0015108541169095	none	0.0015108541169095	Chagas disease	Trypanosoma cruzi is an intracellular protozoan parasite that causes Chagas disease, also called American trypanosomiasis. The parasite life cycle involves hematophagous reduviid bugs as vectors. Once parasites enter the host body, they invade diverse host cells including cardiomyocytes. Establishment of infection depends on various parasite molecules such as cruzipain, oligopeptidase B, and trans-sialidase that activate Ca2+ signaling. Internalized parasites escape from the parasitophorous vacuole using secreted pore-forming TcTOX molecule and replicate in the cytosol. Multiplied parasites eventually lyse infected host cells and are released in the circulation. During these events, the parasites manipulate host innate immunity and elicit cardiomyocyte hypertrophy. T lymphocyte responses are also disturbed.	Human Diseases; Infectious disease: parasitic	Chagas disease
ko00513	LinDA	MDA	MDC	0.00515827251267424	none	0.00515827251267424	Various types of N-glycan biosynthesis	NA	Metabolism; Glycan biosynthesis and metabolism	Various types of N-glycan biosynthesis
ko00627	LinDA	MDA	MDC	0.00913101117526231	none	0.00913101117526231	Aminobenzoate degradation	NA	Metabolism; Xenobiotics biodegradation and metabolism	Aminobenzoate degradation
ko00626	LinDA	MDA	MDC	0.00372052155821181	none	0.00372052155821181	Naphthalene degradation	NA	Metabolism; Xenobiotics biodegradation and metabolism	Naphthalene degradation
ko00071	LinDA	MDA	MDC	0.00383037026042139	none	0.00383037026042139	Fatty acid degradation	NA	Metabolism; Lipid metabolism	Fatty acid degradation
ko05219	LinDA	MDA	MDC	0.000434356479119304	none	0.000434356479119304	Bladder cancer	The urothelium covers the luminal surface of almost the entire urinary tract, extending from the renal pelvis, through the ureter and bladder, to the proximal urethra. The majority of urothelial carcinoma are bladder carcinomas, and urothelial carcinomas of the renal pelvis and ureter account for only approximately 7% of the total. Urothelial tumours arise and evolve through divergent phenotypic pathways. Some tumours progress from urothelial hyperplasia to low-grade non-invasive superficial papillary tumours. More aggressive variants arise either from flat, high-grade carcinoma in situ (CIS) and progress to invasive tumours, or they arise de novo as invasive tumours. Low-grade papillary tumors frequently show a constitutive activation of the receptor tyrosine kinase-Ras pathway, exhibiting activating mutations in the HRAS and fibroblast growth factor receptor 3 (FGFR3) genes. In contrast, CIS and invasive tumors frequently show alterations in the TP53 and RB genes and pathways. Invasion and metastases are promoted by several factors that alter the tumour microenvironment, including the aberrant expression of E-cadherins (E-cad), matrix metalloproteinases (MMPs), angiogenic factors such as vascular endothelial growth factor (VEGF).	Human Diseases; Cancer: specific types	Bladder cancer
ko04916	LinDA	MDA	MDC	0.00687393997465452	none	0.00687393997465452	Melanogenesis	Cutaneous melanin pigment plays a critical role in camouflage, mimicry, social communication, and protection against harmful effects of solar radiation. Melanogenesis is under complex regulatory control by multiple agents. The most important positive regulator of melanogenesis is the MC1 receptor with its ligands melanocortic peptides. MC1R activates the cyclic AMP (cAMP) response-element binding protein (CREB). Increased expression of MITF and its activation by phosphorylation (P) stimulate the transcription of tyrosinase (TYR), tyrosinase-related protein 1 (TYRP1), and dopachrome tautomerase (DCT), which produce melanin. Melanin synthesis takes place within specialized intracellular organelles named melanosomes. Melanin-containing melanosomes then move from the perinuclear region to the dendrite tips and are transferred to keratinocytes by a still not well-characterized mechanism.	Organismal Systems; Endocrine system	Melanogenesis
ko00364	LinDA	MDA	MDC	0.000652769953230508	none	0.000652769953230508	Fluorobenzoate degradation	NA	Metabolism; Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation
ko05130	LinDA	MDA	MDC	0.000517755364331818	none	0.000517755364331818	Pathogenic Escherichia coli infection	Enteropathogenic E. coli (EPEC) and enterohemorrhagic E. coli (EHEC) are closely related pathogenic strains of Escherichia coli. The hallmark of EPEC/EHEC infections [DS:H00278 H00277] is induction of attaching and effacing (A/E) lesions that damage intestinal epithelial cells. The capacity to form A/E lesions is encoded mainly by the locus of enterocyte effacement (LEE) pathogenicity island. Tir, Map, EspF, EspG are known LEE-encoded effector proteins secreted via the type III secretion system, which is also LEE-encoded, into the host cell. EPEC and EHEC Tir's link the extracellular bacterium to the cell cytoskeleton. Map and EspF are involved in mitochondrion membrane permeabilization. EspG interacts with tubulins and stimulates microtubule destabilization. LEE-encoded adhesin or intimin (Eae) is exported via the general secretory pathway to the periplasm, where it is inserted into the outer membrane. In addition to Tir, two potential host cell-carried intimin receptors, beta1 integrin (ITGB1) and nucleolin (NCL), have so far been identified. The distinguishing feature of EHEC is the elaboration of Shiga-like toxin (Stx). Stx cleaves ribosomal RNA, thereby disrupting protein synthesis and killing the intoxicated epithelial or endothelial cells.	Human Diseases; Infectious disease: bacterial	Pathogenic Escherichia coli infection
ko00280	LinDA	MDA	MDC	0.00266456795853829	none	0.00266456795853829	Valine, leucine and isoleucine degradation	NA	Metabolism; Amino acid metabolism	Valine, leucine and isoleucine degradation
ko05143	LinDA	MDA	MDC	0.00160417445701692	none	0.00160417445701692	African trypanosomiasis	Trypanosoma brucei, the parasite responsible for African trypanosomiasis (sleeping sickness), are spread by the tsetse fly in sub-Saharan Africa. The parasites are able to pass through the blood-brain barrier and cause neurological damage by inducing cytokines like TNF alpha, IFN gamma, and IL1. These cytokines and other metabolites such as nitric oxide and somnogenic prostaglandin D2 disturb circadian rhythms in patients with African trypanosomiasis.	Human Diseases; Infectious disease: parasitic	African trypanosomiasis
ko00350	LinDA	MDA	MDC	0.000223844440476413	none	0.000223844440476413	Tyrosine metabolism	NA	Metabolism; Amino acid metabolism	Tyrosine metabolism
ko00480	LinDA	MDA	MDC	0.00635429016403086	none	0.00635429016403086	Glutathione metabolism	NA	Metabolism; Metabolism of other amino acids	Glutathione metabolism
ko00642	LinDA	MDA	MDC	0.00342140852807813	none	0.00342140852807813	Ethylbenzene degradation	NA	Metabolism; Xenobiotics biodegradation and metabolism	Ethylbenzene degradation
ko00965	LinDA	MDA	MDC	0.00220692217361603	none	0.00220692217361603	Betalain biosynthesis	Betalains are water-soluble nitrogen-containing pigments that are present in plants belonging to the order Caryophyllales (such as cactus and amaranth families) and in higher fungi. They contain betalamic acid as the chromophore and are classified into two types: betacyanins and betaxanthins. Betacyanins contain a cyclo-DOPA residue and exhibit red/violet coloration, while betaxanthins contain different amino acids or amino side chains and exhibit a yellow/orange coloration. The condensation of betalamic acid with amino acids (including cyclo-DOPA or amines) in plants is a spontaneous reaction, not an enzyme-catalyzed reaction.	Metabolism; Biosynthesis of other secondary metabolites	Betalain biosynthesis
ko00980	LinDA	MDA	MDC	0.00965070131112906	none	0.00965070131112906	Metabolism of xenobiotics by cytochrome P450	NA	Metabolism; Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450
ko00791	LinDA	MDA	MDC	0.00216429919917947	none	0.00216429919917947	Atrazine degradation	NA	Metabolism; Xenobiotics biodegradation and metabolism	Atrazine degradation
