jaccard_binary	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
HD1	0	0.458	0.483	0.469	0.487	0.495	0.493	0.476	0.452	0.425	0.481	0.452	0.453	0.475	0.455	0.458	0.492	0.497	0.521	0.686	0.501	0.664	0.443	0.451	0.437	0.472	0.503	0.476	0.497	0.483	0.530	0.540	0.522	0.515	0.545	0.533	0.524	0.526	0.524	0.528	0.521	0.538	0.533	0.567	0.532
HD10	0.458	0	0.436	0.442	0.465	0.427	0.429	0.444	0.457	0.423	0.475	0.432	0.388	0.431	0.360	0.485	0.445	0.466	0.493	0.698	0.461	0.686	0.408	0.417	0.423	0.410	0.485	0.451	0.453	0.431	0.543	0.527	0.549	0.549	0.567	0.534	0.554	0.569	0.546	0.547	0.549	0.546	0.540	0.592	0.528
HD11	0.483	0.436	0	0.395	0.396	0.402	0.409	0.506	0.473	0.460	0.514	0.454	0.419	0.436	0.423	0.471	0.487	0.454	0.467	0.677	0.453	0.688	0.409	0.438	0.428	0.495	0.523	0.464	0.466	0.443	0.572	0.533	0.521	0.519	0.544	0.536	0.547	0.577	0.549	0.543	0.553	0.555	0.571	0.605	0.557
HD12	0.469	0.442	0.395	0	0.449	0.402	0.442	0.505	0.491	0.471	0.532	0.460	0.444	0.434	0.459	0.491	0.480	0.467	0.465	0.656	0.453	0.663	0.432	0.453	0.448	0.483	0.512	0.475	0.466	0.454	0.550	0.525	0.510	0.512	0.537	0.542	0.529	0.566	0.562	0.528	0.540	0.545	0.553	0.600	0.551
HD13	0.487	0.465	0.396	0.449	0	0.452	0.446	0.539	0.483	0.465	0.534	0.482	0.446	0.424	0.448	0.504	0.507	0.514	0.510	0.692	0.484	0.699	0.455	0.465	0.462	0.513	0.529	0.499	0.490	0.451	0.596	0.566	0.570	0.524	0.576	0.524	0.569	0.615	0.593	0.576	0.579	0.602	0.602	0.638	0.604
HD14	0.495	0.427	0.402	0.402	0.452	0	0.398	0.483	0.461	0.460	0.514	0.471	0.445	0.436	0.404	0.491	0.478	0.452	0.463	0.646	0.432	0.662	0.403	0.427	0.439	0.465	0.495	0.441	0.441	0.448	0.574	0.535	0.545	0.544	0.571	0.570	0.557	0.587	0.569	0.560	0.571	0.570	0.568	0.617	0.543
HD15	0.493	0.429	0.409	0.442	0.446	0.398	0	0.512	0.476	0.442	0.530	0.479	0.461	0.442	0.405	0.504	0.488	0.478	0.471	0.677	0.447	0.701	0.435	0.456	0.459	0.486	0.515	0.474	0.482	0.454	0.593	0.554	0.578	0.568	0.573	0.572	0.588	0.609	0.593	0.566	0.577	0.583	0.576	0.632	0.572
HD2	0.476	0.444	0.506	0.505	0.539	0.483	0.512	0	0.473	0.458	0.418	0.470	0.478	0.497	0.474	0.508	0.493	0.495	0.521	0.681	0.516	0.647	0.455	0.446	0.460	0.432	0.499	0.492	0.494	0.505	0.565	0.555	0.559	0.546	0.587	0.574	0.561	0.579	0.572	0.533	0.568	0.561	0.560	0.588	0.547
HD3	0.452	0.457	0.473	0.491	0.483	0.461	0.476	0.473	0	0.418	0.478	0.455	0.454	0.459	0.447	0.425	0.471	0.493	0.512	0.671	0.494	0.672	0.444	0.430	0.438	0.473	0.486	0.470	0.478	0.451	0.539	0.519	0.540	0.501	0.546	0.541	0.528	0.545	0.509	0.527	0.524	0.525	0.533	0.553	0.516
HD4	0.425	0.423	0.460	0.471	0.465	0.460	0.442	0.458	0.418	0	0.457	0.465	0.446	0.444	0.406	0.457	0.463	0.468	0.501	0.687	0.482	0.657	0.401	0.403	0.389	0.461	0.502	0.466	0.475	0.468	0.527	0.521	0.520	0.502	0.526	0.514	0.520	0.552	0.522	0.525	0.529	0.548	0.535	0.577	0.546
HD5	0.481	0.475	0.514	0.532	0.534	0.514	0.530	0.418	0.478	0.457	0	0.498	0.491	0.527	0.480	0.490	0.491	0.498	0.552	0.696	0.527	0.646	0.456	0.466	0.471	0.449	0.521	0.487	0.511	0.505	0.572	0.566	0.553	0.555	0.588	0.571	0.565	0.577	0.568	0.567	0.566	0.582	0.583	0.584	0.558
HD6	0.452	0.432	0.454	0.460	0.482	0.471	0.479	0.470	0.455	0.465	0.498	0	0.431	0.449	0.447	0.458	0.461	0.486	0.532	0.669	0.484	0.670	0.439	0.438	0.448	0.455	0.485	0.466	0.443	0.438	0.564	0.521	0.540	0.556	0.554	0.555	0.538	0.551	0.536	0.522	0.524	0.541	0.538	0.569	0.530
HD7	0.453	0.388	0.419	0.444	0.446	0.445	0.461	0.478	0.454	0.446	0.491	0.431	0	0.426	0.393	0.456	0.458	0.470	0.492	0.689	0.458	0.680	0.418	0.425	0.395	0.461	0.518	0.448	0.472	0.423	0.558	0.531	0.555	0.544	0.573	0.551	0.555	0.565	0.547	0.547	0.541	0.560	0.556	0.600	0.543
HD8	0.475	0.431	0.436	0.434	0.424	0.436	0.442	0.497	0.459	0.444	0.527	0.449	0.426	0	0.425	0.468	0.481	0.471	0.498	0.690	0.467	0.673	0.420	0.438	0.433	0.483	0.503	0.482	0.439	0.405	0.578	0.562	0.559	0.540	0.593	0.547	0.565	0.600	0.583	0.562	0.564	0.563	0.578	0.624	0.577
HD9	0.455	0.360	0.423	0.459	0.448	0.404	0.405	0.474	0.447	0.406	0.480	0.447	0.393	0.425	0	0.475	0.462	0.484	0.504	0.702	0.445	0.693	0.405	0.405	0.404	0.441	0.509	0.453	0.453	0.418	0.575	0.521	0.545	0.537	0.559	0.534	0.547	0.575	0.537	0.530	0.550	0.540	0.543	0.592	0.536
MD1	0.458	0.485	0.471	0.491	0.504	0.491	0.504	0.508	0.425	0.457	0.490	0.458	0.456	0.468	0.475	0	0.469	0.506	0.530	0.684	0.494	0.665	0.454	0.443	0.446	0.472	0.475	0.470	0.470	0.467	0.563	0.549	0.531	0.525	0.551	0.535	0.535	0.556	0.542	0.532	0.545	0.559	0.541	0.573	0.552
MD10	0.492	0.445	0.487	0.480	0.507	0.478	0.488	0.493	0.471	0.463	0.491	0.461	0.458	0.481	0.462	0.469	0	0.470	0.499	0.692	0.446	0.702	0.438	0.443	0.436	0.434	0.484	0.409	0.452	0.410	0.563	0.538	0.545	0.530	0.567	0.555	0.536	0.561	0.545	0.548	0.548	0.556	0.551	0.583	0.556
MD11	0.497	0.466	0.454	0.467	0.514	0.452	0.478	0.495	0.493	0.468	0.498	0.486	0.470	0.471	0.484	0.506	0.470	0	0.453	0.662	0.426	0.686	0.457	0.469	0.460	0.490	0.479	0.463	0.469	0.451	0.579	0.566	0.551	0.538	0.585	0.550	0.556	0.574	0.565	0.555	0.572	0.570	0.577	0.595	0.561
MD12	0.521	0.493	0.467	0.465	0.510	0.463	0.471	0.521	0.512	0.501	0.552	0.532	0.492	0.498	0.504	0.530	0.499	0.453	0	0.639	0.444	0.661	0.475	0.489	0.486	0.504	0.539	0.487	0.505	0.468	0.566	0.566	0.567	0.545	0.586	0.582	0.570	0.597	0.585	0.561	0.591	0.592	0.584	0.636	0.564
MD13	0.686	0.698	0.677	0.656	0.692	0.646	0.677	0.681	0.671	0.687	0.696	0.669	0.689	0.690	0.702	0.684	0.692	0.662	0.639	0	0.661	0.557	0.671	0.691	0.680	0.685	0.689	0.672	0.668	0.697	0.738	0.714	0.707	0.708	0.737	0.740	0.721	0.732	0.726	0.709	0.727	0.721	0.726	0.720	0.723
MD14	0.501	0.461	0.453	0.453	0.484	0.432	0.447	0.516	0.494	0.482	0.527	0.484	0.458	0.467	0.445	0.494	0.446	0.426	0.444	0.661	0	0.694	0.430	0.440	0.441	0.477	0.510	0.467	0.466	0.412	0.585	0.553	0.546	0.543	0.574	0.555	0.558	0.591	0.564	0.535	0.557	0.578	0.563	0.604	0.566
MD15	0.664	0.686	0.688	0.663	0.699	0.662	0.701	0.647	0.672	0.657	0.646	0.670	0.680	0.673	0.693	0.665	0.702	0.686	0.661	0.557	0.694	0	0.670	0.680	0.671	0.664	0.673	0.668	0.682	0.687	0.699	0.688	0.673	0.671	0.705	0.708	0.687	0.699	0.687	0.678	0.682	0.689	0.690	0.689	0.693
MD2	0.443	0.408	0.409	0.432	0.455	0.403	0.435	0.455	0.444	0.401	0.456	0.439	0.418	0.420	0.405	0.454	0.438	0.457	0.475	0.671	0.430	0.670	0	0.356	0.382	0.410	0.476	0.438	0.433	0.428	0.538	0.506	0.528	0.521	0.545	0.537	0.526	0.553	0.529	0.519	0.521	0.523	0.534	0.568	0.507
MD3	0.451	0.417	0.438	0.453	0.465	0.427	0.456	0.446	0.430	0.403	0.466	0.438	0.425	0.438	0.405	0.443	0.443	0.469	0.489	0.691	0.440	0.680	0.356	0	0.387	0.441	0.486	0.437	0.451	0.433	0.539	0.514	0.528	0.522	0.546	0.527	0.533	0.553	0.520	0.491	0.524	0.520	0.545	0.565	0.536
MD4	0.437	0.423	0.428	0.448	0.462	0.439	0.459	0.460	0.438	0.389	0.471	0.448	0.395	0.433	0.404	0.446	0.436	0.460	0.486	0.680	0.441	0.671	0.382	0.387	0	0.449	0.494	0.436	0.444	0.431	0.541	0.509	0.529	0.531	0.556	0.533	0.526	0.539	0.533	0.520	0.531	0.534	0.531	0.568	0.521
MD5	0.472	0.410	0.495	0.483	0.513	0.465	0.486	0.432	0.473	0.461	0.449	0.455	0.461	0.483	0.441	0.472	0.434	0.490	0.504	0.685	0.477	0.664	0.410	0.441	0.449	0	0.499	0.460	0.464	0.466	0.542	0.520	0.525	0.521	0.577	0.552	0.546	0.549	0.531	0.528	0.538	0.555	0.535	0.568	0.525
MD6	0.503	0.485	0.523	0.512	0.529	0.495	0.515	0.499	0.486	0.502	0.521	0.485	0.518	0.503	0.509	0.475	0.484	0.479	0.539	0.689	0.510	0.673	0.476	0.486	0.494	0.499	0	0.475	0.484	0.474	0.593	0.572	0.578	0.566	0.584	0.565	0.593	0.585	0.591	0.567	0.573	0.572	0.566	0.569	0.570
MD7	0.476	0.451	0.464	0.475	0.499	0.441	0.474	0.492	0.470	0.466	0.487	0.466	0.448	0.482	0.453	0.470	0.409	0.463	0.487	0.672	0.467	0.668	0.438	0.437	0.436	0.460	0.475	0	0.436	0.423	0.533	0.531	0.540	0.520	0.539	0.540	0.530	0.551	0.532	0.530	0.532	0.556	0.552	0.578	0.526
MD8	0.497	0.453	0.466	0.466	0.490	0.441	0.482	0.494	0.478	0.475	0.511	0.443	0.472	0.439	0.453	0.470	0.452	0.469	0.505	0.668	0.466	0.682	0.433	0.451	0.444	0.464	0.484	0.436	0	0.436	0.579	0.542	0.542	0.553	0.560	0.551	0.565	0.592	0.562	0.533	0.569	0.560	0.585	0.609	0.565
MD9	0.483	0.431	0.443	0.454	0.451	0.448	0.454	0.505	0.451	0.468	0.505	0.438	0.423	0.405	0.418	0.467	0.410	0.451	0.468	0.697	0.412	0.687	0.428	0.433	0.431	0.466	0.474	0.423	0.436	0	0.556	0.546	0.555	0.537	0.575	0.548	0.556	0.585	0.553	0.552	0.541	0.553	0.559	0.603	0.555
NC1	0.530	0.543	0.572	0.550	0.596	0.574	0.593	0.565	0.539	0.527	0.572	0.564	0.558	0.578	0.575	0.563	0.563	0.579	0.566	0.738	0.585	0.699	0.538	0.539	0.541	0.542	0.593	0.533	0.579	0.556	0	0.436	0.490	0.465	0.470	0.512	0.465	0.411	0.406	0.419	0.424	0.450	0.436	0.475	0.438
NC10	0.540	0.527	0.533	0.525	0.566	0.535	0.554	0.555	0.519	0.521	0.566	0.521	0.531	0.562	0.521	0.549	0.538	0.566	0.566	0.714	0.553	0.688	0.506	0.514	0.509	0.520	0.572	0.531	0.542	0.546	0.436	0	0.466	0.468	0.472	0.505	0.449	0.461	0.435	0.409	0.431	0.426	0.409	0.480	0.419
NC11	0.522	0.549	0.521	0.510	0.570	0.545	0.578	0.559	0.540	0.520	0.553	0.540	0.555	0.559	0.545	0.531	0.545	0.551	0.567	0.707	0.546	0.673	0.528	0.528	0.529	0.525	0.578	0.540	0.542	0.555	0.490	0.466	0	0.414	0.421	0.472	0.404	0.511	0.489	0.474	0.477	0.467	0.480	0.499	0.475
NC12	0.515	0.549	0.519	0.512	0.524	0.544	0.568	0.546	0.501	0.502	0.555	0.556	0.544	0.540	0.537	0.525	0.530	0.538	0.545	0.708	0.543	0.671	0.521	0.522	0.531	0.521	0.566	0.520	0.553	0.537	0.465	0.468	0.414	0	0.412	0.460	0.418	0.486	0.474	0.474	0.455	0.461	0.451	0.509	0.498
NC13	0.545	0.567	0.544	0.537	0.576	0.571	0.573	0.587	0.546	0.526	0.588	0.554	0.573	0.593	0.559	0.551	0.567	0.585	0.586	0.737	0.574	0.705	0.545	0.546	0.556	0.577	0.584	0.539	0.560	0.575	0.470	0.472	0.421	0.412	0	0.459	0.435	0.486	0.459	0.453	0.471	0.465	0.462	0.495	0.474
NC14	0.533	0.534	0.536	0.542	0.524	0.570	0.572	0.574	0.541	0.514	0.571	0.555	0.551	0.547	0.534	0.535	0.555	0.550	0.582	0.740	0.555	0.708	0.537	0.527	0.533	0.552	0.565	0.540	0.551	0.548	0.512	0.505	0.472	0.460	0.459	0	0.477	0.527	0.505	0.517	0.514	0.506	0.518	0.516	0.514
NC15	0.524	0.554	0.547	0.529	0.569	0.557	0.588	0.561	0.528	0.520	0.565	0.538	0.555	0.565	0.547	0.535	0.536	0.556	0.570	0.721	0.558	0.687	0.526	0.533	0.526	0.546	0.593	0.530	0.565	0.556	0.465	0.449	0.404	0.418	0.435	0.477	0	0.474	0.439	0.437	0.431	0.470	0.453	0.495	0.468
NC2	0.526	0.569	0.577	0.566	0.615	0.587	0.609	0.579	0.545	0.552	0.577	0.551	0.565	0.600	0.575	0.556	0.561	0.574	0.597	0.732	0.591	0.699	0.553	0.553	0.539	0.549	0.585	0.551	0.592	0.585	0.411	0.461	0.511	0.486	0.486	0.527	0.474	0	0.420	0.422	0.397	0.456	0.438	0.463	0.436
NC3	0.524	0.546	0.549	0.562	0.593	0.569	0.593	0.572	0.509	0.522	0.568	0.536	0.547	0.583	0.537	0.542	0.545	0.565	0.585	0.726	0.564	0.687	0.529	0.520	0.533	0.531	0.591	0.532	0.562	0.553	0.406	0.435	0.489	0.474	0.459	0.505	0.439	0.420	0	0.424	0.415	0.460	0.441	0.461	0.437
NC4	0.528	0.547	0.543	0.528	0.576	0.560	0.566	0.533	0.527	0.525	0.567	0.522	0.547	0.562	0.530	0.532	0.548	0.555	0.561	0.709	0.535	0.678	0.519	0.491	0.520	0.528	0.567	0.530	0.533	0.552	0.419	0.409	0.474	0.474	0.453	0.517	0.437	0.422	0.424	0	0.410	0.446	0.416	0.489	0.435
NC5	0.521	0.549	0.553	0.540	0.579	0.571	0.577	0.568	0.524	0.529	0.566	0.524	0.541	0.564	0.550	0.545	0.548	0.572	0.591	0.727	0.557	0.682	0.521	0.524	0.531	0.538	0.573	0.532	0.569	0.541	0.424	0.431	0.477	0.455	0.471	0.514	0.431	0.397	0.415	0.410	0	0.462	0.419	0.465	0.462
NC6	0.538	0.546	0.555	0.545	0.602	0.570	0.583	0.561	0.525	0.548	0.582	0.541	0.560	0.563	0.540	0.559	0.556	0.570	0.592	0.721	0.578	0.689	0.523	0.520	0.534	0.555	0.572	0.556	0.560	0.553	0.450	0.426	0.467	0.461	0.465	0.506	0.470	0.456	0.460	0.446	0.462	0	0.415	0.454	0.413
NC7	0.533	0.540	0.571	0.553	0.602	0.568	0.576	0.560	0.533	0.535	0.583	0.538	0.556	0.578	0.543	0.541	0.551	0.577	0.584	0.726	0.563	0.690	0.534	0.545	0.531	0.535	0.566	0.552	0.585	0.559	0.436	0.409	0.480	0.451	0.462	0.518	0.453	0.438	0.441	0.416	0.419	0.415	0	0.478	0.405
NC8	0.567	0.592	0.605	0.600	0.638	0.617	0.632	0.588	0.553	0.577	0.584	0.569	0.600	0.624	0.592	0.573	0.583	0.595	0.636	0.720	0.604	0.689	0.568	0.565	0.568	0.568	0.569	0.578	0.609	0.603	0.475	0.480	0.499	0.509	0.495	0.516	0.495	0.463	0.461	0.489	0.465	0.454	0.478	0	0.446
