weeks	Control	Control	Control	Control	Control	Control	HFD	HFD	HFD	HFD	HFD	HFD	MD	MD	MD	MD	MD	MD
1	22.76	21.67	21.47	22.08	23.13	21.47	23.73	22.21	22.86	21.85	23.34	22.79	21.46	20.42	21.12	23.46	23.14	21.28
2	23.41	22.57	22.19	22.43	23.07	21.87	25.92	24.36	25.1	24.48	24.89	24.68	24.15	22.88	23.67	25.96	25.58	24.03
3	23.83	23.41	23.08	23.35	23.86	22.53	27.01	26.11	25.72	25.38	26.53	26.39	25.33	23.35	24.58	26.92	24.68	25.73
4	24.52	23.78	23.11	24.45	24.4	22.6	27.95	27.5	27.06	25.52	27.96	27.56	26.38	24.21	25.04	27.07	27.56	25.83
5	25.3	24.56	23.35	25.41	25.94	23.34	28.8	28.78	28.3	26.69	28.46	28.72	27.75	26.18	27.54	29.11	29.27	28.05
6	25.54	25.04	23.56	26.36	26.93	23.68	30.26	30.51	29.21	27.36	30.28	29.24	29.13	26.78	28.6	29.83	30.6	29.23
7	26.45	25	23.53	26.14	26.67	23.51	30.52	30.32	29.71	28.47	30.63	30.06	28.7	25.27	29.39	27.8	27.56	26.05
8	27.02	25.51	24.12	27.17	27.43	24.09	31.95	32.62	30.41	28.69	32.64	31.74	26.32	24.84	25.55	27.66	26.23	25.2
9	28.93	26.49	25.49	28.6	28.89	25.34	33.05	32.73	31.53	30.11	33.46	32.54	26.72	26.05	25.34	28.15	26.29	24.8
10	27.84	25.87	24.37	28.13	28.71	24.48	33.74	34.06	32.03	29.63	34.31	33.14	25.35	25.1	24.64	27.06	25.37	23.76
11	28.1	26.08	24.71	28.53	28.99	25.16	35.27	35.77	33.42	31.14	35.89	34.28	24.17	24.05	24.35	26.05	24.35	22.44
12	28.82	27.04	26.03	29.3	30.51	25.52	36.25	37.4	34.65	31.25	36.92	34.69	25.84	25.43	26.14	27.06	25.55	23.77
13	29.29	26.95	26.08	30.16	30.64	25.46	36.66	37.55	35.24	32.08	37.33	33.98	25.78	24.91	25.38	26.93	24.89	22.66
14	29.14	27.06	25.83	29.76	29.91	25.63	38.43	38.63	35.97	33.01	38.51	35.7	25.88	24.97	25.17	27.24	25.58	23.03
15	29.19	27	25.41	29.8	29.3	25.73	39.52	38.87	36.24	33.03	39.64	36.34	26.01	25.02	25.52	27.26	25.66	23.92
16	29.14	26.93	25.55	29.73	29.74	25.66	39.54	39.47	37.37	33.09	40.42	36.76	24.86	24.32	24.58	25.85	24.1	22.47
17	28.26	26.82	25.47	28.52	28.48	25.43	39.21	39.25	37.08	32.97	41.04	36.17	25.16	24.84	23.69	26.43	24.13	18.59
