X1	X2	elements	Kingdom	Phylum	Class	Order	Family	Genus	Species	mean	group
1	0.371463182537211	-2.2115229270768	ASV_1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	1337.04444444444	Model_6
2	1.69043878520315	-23.4612125008332	ASV_10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellamassilia	Unassigned	522.955555555556	Model_3
3	3.45621129673791	11.9479388515412	ASV_100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetatifactor	Unassigned	117.4	Model_2
4	4.06471094569472	-13.2454769077837	ASV_101	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Unassigned	Unassigned	119.822222222222	Model_3
5	4.6472786827661	14.0199420944921	ASV_102	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Sellimonas	Unassigned	135.822222222222	Model_4
6	3.05150715587617	-15.0355145340422	ASV_103	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Unassigned	116.155555555556	Model_3
7	4.43408637507889	-20.5922681714028	ASV_104	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Unassigned	Unassigned	114.133333333333	Model_5
8	-7.8100514167151	6.63778709151922	ASV_1046	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	Unassigned	90.8	Model_4
9	-11.2154625784009	-4.27654131116029	ASV_105	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned	91.3555555555556	Model_4
10	5.07284281471945	-15.0383758892605	ASV_106	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Unassigned	111.177777777778	Model_3
11	10.096790181003	9.09556774925912	ASV_107	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	115.977777777778	Model_2
12	1.41340267490854	-7.8987426105186	ASV_108	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned	92.6666666666667	Model_5
13	10.8520422136338	11.6054836980554	ASV_109	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	231.6	Model_3
14	-0.567504580561284	-11.6985908960441	ASV_11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Unassigned	560.6	Model_5
15	-0.870386227287334	21.8116465236757	ASV_110	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	Unassigned	96.2222222222222	Model_3
16	-13.5091680048084	13.301922246706	ASV_111	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	115.088888888889	Model_4
17	-12.9038142502163	1.90197644372771	ASV_112	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	110.111111111111	Model_2
18	-4.14880103064458	12.6671466243629	ASV_113	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned	100.755555555556	Model_4
19	-1.39123617089282	-14.0270933264164	ASV_114	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Unassigned	103.488888888889	Model_3
20	8.79306422299949	-19.5747524488228	ASV_115	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned	98.6444444444444	Model_1
21	-13.2520978495988	5.7183694183469	ASV_116	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Unassigned	105.555555555556	Model_5
22	-13.261519111085	8.79290036708468	ASV_117	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	131.088888888889	Model_3
23	-5.60585778414879	6.1535468615246	ASV_118	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Unassigned	123.8	Model_4
24	-4.21975758100392	-18.7530708564873	ASV_119	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Unassigned	111.244444444444	Model_5
25	2.13581845594376	5.39738019544094	ASV_12	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	661.266666666667	Model_4
26	3.37978142836678	-22.2043887168653	ASV_120	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Unassigned	88.8444444444444	Model_4
27	1.56077364019357	-21.1438722122678	ASV_121	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Unassigned	95.8666666666667	Model_4
28	5.13322114768931	1.2573271600214	ASV_122	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	128.644444444444	Model_3
29	-5.93960010427186	24.4320578263634	ASV_124	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	96.6666666666667	Model_2
30	-6.13606326949551	3.01271044597233	ASV_125	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	135.822222222222	Model_3
31	-5.12542599113031	17.8678494344334	ASV_1253	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	Unassigned	261.977777777778	Model_4
32	-11.3918802541074	15.93645645867	ASV_126	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	Unassigned	120.844444444444	Model_4
