function	description	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	2240.79	3222.72	5370.86	2638.82	2536.24	2279.17	2381.05	2326.29	2351.9999999999995	2105.7900000000004	2088.02	3647.12	3265.0999999999995	2409.76	2783.7599999999993	1973.51	3878.0000000000014	2016.38	1921.84	2782.87	3911.06	1754.7899999999993	2368.03	3191.67	3235.12	4307.829999999999	5222.87	7010.53	2533.84	2124.94	2404.7	2328.98	2931.51	1820.36	3386.0799999999995	4222.11	4300.9	5153.36	5816.67	5112.21	2567.86	6890.65	3963.14	2022.04	1685.55	1963.31	3798.56
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0.8	1.6	0.2	0.4	1.8	0.2	2.57	1.57	0.2	1.0	0.43	0.0	2.4	0.0	0.2	0.2	0.6	1.8	0.0	0.0	1.6	1.0	0.0	0.0	0.6	1.4	0.0	0.0	1.8	0.4	0.0	0.0	0.8	1.0	0.0	0.0	3.0	0.0	0.0	0.34	0.4	1.29	0.0	0.2	1.2	0.2	0.14
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	38856.39000000002	27595.26	25382.63000000001	34066.03000000001	33095.23000000002	29685.35000000001	35707.75	34643.69000000002	31063.650000000005	34285.34	23916.47000000001	33822.05000000002	27809.38	36317.28000000001	34383.220000000016	34801.790000000015	28979.120000000006	23919.86999999999	35461.75	25867.61000000001	33553.13000000001	30888.24	30691.640000000014	29855.459999999995	33416.16	30386.67	25451.700000000008	24657.320000000014	28839.080000000016	36958.930000000015	36461.05000000002	37596.53000000001	36692.83	32818.61	28489.430000000004	32352.460000000006	31476.130000000016	31735.220000000005	29292.970000000005	23168.57999999999	39934.52	29477.21	17772.020000000004	33594.490000000005	42633.70000000001	37807.56	31087.450000000008
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	129.32999999999998	94.4	111.92	94.97	107.26	255.0	210.97	149.23000000000005	216.03	110.85	163.6	149.43999999999997	239.34	166.93	84.53	89.23	111.67	69.84	74.33	93.5	89.68	91.9	96.12	117.32	84.42	103.7	116.83	110.4	99.83	92.66	85.96	68.8	51.08	59.57	61.33	130.55	55.3	92.47	154.67	207.59	182.78	150.67	120.77	151.3	115.5	186.77	150.63
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	10978.829999999998	9998.64	12130.16	10710.26	13153.44	7485.419999999997	13305.690000000002	12716.79	8102.559999999999	11005.73	9973.0	16238.4	10756.82	15101.87	14709.19	12833.62	10296.9	8380.86	13661.239999999998	8546.72	16221.670000000002	13139.38	12058.11	13685.71	12323.84	13546.559999999998	10481.399999999998	7305.569999999999	10620.27	13287.3	11929.690000000002	10495.33	14207.38	11019.96	10367.16	6835.4299999999985	4632.539999999999	13709.420000000002	9028.92	11454.53	19879.89	15104.25	8218.68	13696.149999999998	15329.54	13198.4	10475.35
K00006	GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	7.0	6.0	9.0	4.0	16.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	1.0	0.0	0.0	1.0	3.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	3.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	1.0
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	17.64	16.07	82.29	7.72	11.64	21.37	5.1	13.38	11.36	11.42	52.91	6.78	12.590000000000002	12.250000000000002	31.01	48.12	30.63	43.09	74.99	48.67	37.18	45.22	5.36	7.72	16.79	11.91	65.68	8.29	11.98	7.97	3.3400000000000003	10.98	18.45	13.93	61.02	13.18	15.56	12.509999999999998	3.14	7.38	10.77	11.37	37.54	6.590000000000002	6.44	12.03	4.67
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	39865.35000000001	28770.490000000005	22793.24	32883.69	31882.19000000001	26638.35	34871.400000000016	32733.310000000016	32669.42000000001	32550.62000000001	22448.720000000005	29750.24000000001	21459.099999999995	33303.220000000016	29449.25000000001	24391.57000000001	26034.64000000001	17671.47	29537.89	20867.740000000005	31416.68000000001	24038.520000000004	23405.990000000005	29162.36	33045.67000000001	28818.32	23985.01000000001	23766.540000000008	27855.93000000001	38130.41	35313.16000000002	39836.61	37589.289999999986	32478.42	28432.100000000013	18815.36	14768.12	22935.13	18629.73	19371.6	40499.42	26513.57	13603.01	29971.640000000007	44930.09000000001	32545.999999999985	22706.140000000007
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	279.38	436.82000000000005	226.71	233.5	393.39	426.37	444.06	387.01	573.44	489.67	290.11	290.36	1237.9300000000005	604.33	318.61999999999995	565.17	365.29000000000013	1499.26	792.1000000000001	818.2000000000003	404.43	1156.8799999999997	1211.6	280.02000000000004	261.65	2050.99	307.8400000000001	268.54	652.9399999999998	266.72	196.12	134.56	264.45000000000005	372.89	248.95	241.30000000000004	338.67999999999995	892.54	441.34	302.0499999999999	344.34999999999985	384.99	396.82000000000005	165.75	327.69	377.02	297.0499999999999
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	484.02	549.9600000000002	415.42999999999984	579.7899999999997	645.88	729.4500000000003	719.42	534.4100000000002	590.0799999999998	380.74	330.69999999999993	348.06000000000006	922.69	632.2199999999998	326.0	325.85	481.98	747.3000000000002	402.57000000000016	503.9	586.3199999999998	637.6599999999999	476.87	317.95	394.77	670.9	363.48000000000013	459.97	571.39	446.41	425.01	264.3	312.0300000000001	376.94	304.31	745.57	586.2699999999999	654.1999999999998	617.0799999999998	454.49	669.8999999999999	682.98	383.37	492.48000000000013	518.9000000000002	606.9999999999999	668.0699999999998
