var	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum	3.67108604027588	4.65621349336303	0.985127453087154	8.11397182081564	4.03471867776068e-05	7.96816587575568	2.62703136180877	4.71514071874299	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Paramuribaculum	3.26050366855634	5.8271219196931	2.56661825113676	2.72392027661174	0.0451655864139108	4.62357095199761	0.10664769264016	6.41435964447252	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Unassigned	0.326186627091168	0.466450499615106	0.140263872523938	3.71504140291986	0.0129090089648133	5.1845308617431	0.102880357097753	0.549492897084584	Welch Two Sample t-test	two.sided
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Mucispirillum	0.0617000010754594	0.114755552336318	0.0530555512608586	2.4760325165341	0.038708934573191	7.89983951599599	0.00410985633693143	0.119290145813987	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotaenia	0.073100574004214	0.121959800002565	0.0488592259983514	3.48880052133189	0.00937110545490053	7.35780653421181	0.0240390481511794	0.122162099857249	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Hungatella	1.52083095937582	1.79259814770852	0.271767188332706	2.7867606750447	0.0460514906804628	4.26349715862751	0.041855932924531	2.9998059858271	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiracea_incertae_sedis	2.50260577342778	3.8407272670608	1.33812149363301	3.91535959355172	0.0044498273142403	7.99772756278369	1.02858926039065	3.97662228646491	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Marvinbryantia	0.335241574404452	0.468738880807213	0.133497306402761	3.27125945591728	0.0114793008314436	7.92665122203977	0.0985390416119337	0.571944107196971	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Merdimonas	0.225201183928874	0.34651465056577	0.121313466636897	2.80639668840048	0.0361871891206671	5.18947262312462	0.0211679455123417	0.429234422345406	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	1.09571095158805	1.69299924425154	0.597288292663485	2.50568801288204	0.0380804545613301	7.60294310473365	0.0780790988868077	2.1133428042893	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Schaedlerella	0.549274668736021	0.774739705523483	0.225465036787462	5.54120209552374	0.000784636690762209	7.20893502078052	0.316250145824924	0.782299191647118	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia	1.38656354930511	1.78944445886146	0.402880909556347	2.99573563484855	0.0390640810204856	4.08391552032951	0.111844726544455	2.66128237206578	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flavonifractor	0.214972027246415	0.301325309852656	0.0863532826062407	2.97025655348392	0.0190588637804663	7.55374372485924	0.0463432865468953	0.383600767945935	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalibaculum	1.18986633674506	1.24823335239488	0.0583670156498203	3.97426484444612	0.0163522110111894	4.01595667196876	0.359919567096482	2.01981310639365	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Turicibacter	0.812142931199736	0.842732257907854	0.0305893267081178	4.33847863056648	0.0118813406742481	4.05863430831463	0.295353250306204	1.32893261209327	Welch Two Sample t-test	two.sided
